grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
3,09/20,es,Identifica las sensaciones corporales asociadas a las emociones aflictivas y aplica estrategias para regresar a la calma y enfocarse.,,,,,,3,es,socio,,10 y 11,,,,,
3,09/20,art,"Utiliza los colores primarios y secundarios, cálidos y fríos, para expresar sentimientos.",2,art,santillana,,"16, 17, 150 y 151",,,,,,,,,,
3,09/20,cn,"Introducción al curso de Ciencias Naturales, 3° grado.",,,,,,,,,,,,,,,
3,09/20,lm,"Participa en la realización de tareas conjuntas: proporciona ideas, colabora con otros y cumple con los acuerdos establecidos en el grupo.",2,lm,santillana,,18 y 19,,,,,,2,lm,sep,,12 a 23
3,09/20,vs,"Colabora en acciones de higiene y limpieza en casa, escuela y comunidad para propiciar el bienestar común.",3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e4-gen/index.html ,130 a 132,,,,,,,,,,
3,09/21,lm,Conoce las características y la función de los reglamentos y las emplea en la redacción del reglamento para la Biblioteca de Aula.,2,lm,santillana,,18 y 19,,,,,,2,lm,sep,,12 a 23
3,09/21,mat,Resuelve problemas de suma y resta con números naturales hasta 1 000.,2,mat,santillana,,213,2,mat,detectives,,35,2,mat,sep,,"99 a 107, 110 y 111"
3,09/21,fcye,"Reconoce las capacidades y potencialidades personales que le dotan de singularidad, y que le ayudan a actuar con responsabilidad ante los retos de su entorno.",3,fcye,santillana,,120 y 121,,,,,,3,fcye,sep,,10 a 19
3,09/21,cn,Argumenta la importancia del consumo diario de alimentos de los tres grupos representados en el Plato del Bien Comer y de agua simple potable para el crecimiento y el buen funcionamiento del cuerpo.,3,cn,santillana,, 92 y 93,,,,,,3,cn,sep,,34 a 37
3,09/21,ef,"Combina sus habilidades motrices al diversificar la ejecución de los patrones básicos de movimiento en situaciones de juego, con el fin de otorgarle intención a sus movimientos.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,09/22,mat,"Uso de la descomposición de números en unidades, decenas, centenas y unidades de millar para resolver diversos problemas.",3,mat,santillana,,48 y 49,3,mat,detectives,,7,3,mat,sep,,10 a 14
3,09/22,art,"Realiza movimientos corporales para representar ideas, emociones, sentimientos y sensaciones.",2,art,santillana,,"298, 299, 408 y 409",,,,,,,,,,
3,09/22,cn,Argumenta la importancia del consumo diario de alimentos de los tres grupos representados en el Plato del Bien Comer y de agua simple potable para el crecimiento y el buen funcionamiento del cuerpo.,3,cn,santillana,,92 y 93,,,,,,3,cn,sep,,34 a 37
3,09/22,lm,Emplea ortografía convencional a partir de modelos.,2,lm,santillana,,36 y 37,,,,,,2,lm,sep,,41 a 43
3,09/22,ced,"Reconoce las capacidades y potencialidades personales que le dotan de singularidad, y que le ayudan a actuar con responsabilidad ante los retos de su entorno.",3,ced,santillana,,120 y 121,,,,,,3,fcye,sep,,10 a 19
3,09/23,cn,Argumenta la importancia del consumo diario de alimentos de los tres grupos representados en el Plato del Bien Comer y de agua simple potable para el crecimiento y el buen funcionamiento del cuerpo.,3,cn,santillana,,92 y 93,,,,,,3,cn,sep,,34 a 37
3,09/23,mat,"Uso de la descomposición de números en unidades, decenas, centenas y unidades de millar para resolver diversos problemas.",3,mat,santillana,,48 y 49,3,mat,detectives,,7,3,mat,sep,,10 a 14
3,09/23,lmb,Explora portadores para conocerlos y disfrutar de la lectura.,3,lmb,santillana,,36 a 39,,,,,,3,esp,sep,,50 a 57
3,09/23,art,"Realiza movimientos corporales para representar ideas, emociones, sentimientos y sensaciones.",2,art,santillana,,"298, 299, 408 y 409",,,,,,,,,,
3,09/23,ef,"Explora sus habilidades motrices al participar en situaciones que implican desplazamientos y manejo de diferentes objetos, para adaptarlas a las condiciones que se presentan.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,09/24,mat,"Uso de la descomposición de números en unidades, decenas, centenas y unidades de millar para resolver diversos problemas.",3,mat,santillana,,48 y 49,3,mat,detectives,,7,3,mat,sep,,10 a 14
3,09/24,ing,Comprende el contenido de un diálogo.,,,,,,,,,,,,,,,
3,09/24,art,"Realiza movimientos corporales para representar ideas, emociones, sentimientos y sensaciones.",2,art,santillana,,"298, 299, 408 y 409",,,,,,,,,,
3,09/24,es,"Identifica cómo se manifiestan diferentes emociones en el cuerpo, la voz, la capacidad de pensar con claridad y la conducta; analiza sus causas y consecuencias.",,,,,,3,es,socio,,12 y 13,,,,,
3,09/24,vs,"Realiza actividades físicas de manera cotidiana, con la intención de sentirse bien y cuidar su salud.",3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e2-gen/index.html,"135, 142 y 143",,,,,,,,,,
