grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,10/04,vs,Consciencia de sí para la adquisición de estilos de vida activos.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,269,,,,,,,,,,
4,10/04,fcye,"Reconoce que es una persona valiosa, que merece cuidados y trato digno, y que tiene derecho a la protección de su información al igual que las demás personas.",4,fcye,santillana,,132 y 133,,,,,,4,fcye,sep,,25 a  27
4,10/04,es,Identifica causas y consecuencias del estrés y aplica algunas estrategias para lidiar con él.,,,,,,4,es,socio,,28 y 29,,,,,
4,10/04,cn,"Explica las características equilibrada e inocua de la dieta, así como las del agua simple potable.",4,cn,santillana,,76 y 77,,,,,,,,,,
4,10/04,art,"Comunica una idea por medio de la combinación de movimientos, espacio y tiempo.",5,art,santillana,,180 y 181,,,,,,,,,,
4,10/05,ef,"Combina distintas habilidades motrices en retos, individuales y cooperativos, con el fin de tomar decisiones y mejorar su actuación.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,10/05,hist,Señala las características de los primeros grupos nómadas para explicar los cambios en la forma de vida a partir de la agricultura en el actual territorio mexicano.,4,hist,santillana,,112 y 113,,,,,,4,hist,sep,,24 y 25
4,10/05,mat,Notación desarrollada de números naturales y decimales. Valor posicional de las cifras de un número.,4,mat,santillana,,48 y 49,4,mat,detectives,,7,4,mat,sep,,17 y 18
4,10/05,lm,Emplea la paráfrasis al exponer un tema.,4,esp,santillana,,184 y 185,,,,,,4,esp,sep,,103
4,10/05,geo,"Localiza capitales, ciudades y lugares representativos de México a partir de los puntos cardinales.",4,geo,santillana,,96 y 97,,,,,,4,geo,sep,,23 a 28
4,10/06,ced,"Reconoce que es una persona valiosa, que merece cuidados y trato digno, y que tiene derecho a la protección de su información al igual que las demás personas.",4,ced,santillana,,132 y 133,,,,,,4,fcye,sep,,25 a 27
4,10/06,mat,"Resolución de problemas que impliquen particiones en tercios, quintos y sextos. Análisis de escrituras aditivas equivalentes y de fracciones mayores o menores que la unidad.",4,mat,santillana,,50 y 51,4,mat,detectives,,8,4,mat,sep,,19 a 21
4,10/06,cn,"Explica las características equilibrada e inocua de la dieta, así como las del agua simple potable.",4,cn,santillana,,76 y 77,,,,,,,,,,
4,10/06,hist,"Distingue las características del espacio geográfico de Aridoamérica, Mesoamérica, Oasisamérica.",4,hist,santillana,,114 y 115,,,,,,4,hist,sep,,26 a 29
4,10/06,lm,Emplea la paráfrasis al exponer un tema II.,4,lm,santillana,,184 y 185,,,,,,4,esp,sep,,103
4,10/07,ef,"Combina distintas habilidades motrices en retos, individuales y cooperativos, con el fin de tomar decisiones y mejorar su actuación.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,10/07,geo,Distingue las diferentes representaciones cartográficas.,4,geo,santillana,,96 y 97,,,,,,4,geo,sep,,23 a 28
4,10/07,mat,"Resolución de problemas que impliquen particiones en tercios, quintos y sextos. Análisis de escrituras aditivas equivalentes y de fracciones mayores o menores que la unidad.",4,mat,santillana,,50 y 51,4,mat,detectives,,8,4,mat,sep,,19 a 21
4,10/07,lm,Resume información para redactar textos de apoyo para una exposición.,3,lm,santillana,,194 y 195,,,,,,3,esp,sep,,143 y 145
4,10/07,ing,Comprende el contenido de un diálogo.,,,,,,,,,,,,,,,
4,10/08,vs,Consciencia de sí para la adquisición de estilos de vida activos.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,269,,,,,,,,,,
4,10/08,mat,"Resolución de problemas que impliquen particiones en tercios, quintos y sextos. Análisis de escrituras aditivas equivalentes y de fracciones mayores o menores que la unidad.",4,mat,santillana,,50 y 51,4,mat,detectives,,4,4,mat,sep,,19 a 21
4,10/08,lmb,Lee textos informativos y reconoce sus funciones y modos de organización.,4,lmb,santillana,,32 y 33,,,,,,,,,,
4,10/08,art,"Comunica una idea por medio de la combinación de movimientos, espacio y tiempo.",5,art,santillana,,180 y 181,,,,,,,,,,
4,10/08,es,Comprende y aprecia la importancia de la reciprocidad para alcanzar objetivos propios y colectivos.,,,,,,4,es,socio,,44 y 45,,,,,
