grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,10/04,art,Utiliza la forma y el color de manera intencional en la representación de personajes ficticios.,5,art,santillana,,"16, 17, 180 y 181",,,,,,,,,,
5,10/04,es,Pone en práctica estrategias para experimentar bienestar a pesar de circunstancias adversas.,,,,,,5,es,socio,,28 a 31,,,,,
5,10/04,cn,"Describe causas y consecuencias del sobrepeso y de la obesidad, y su prevención mediante una dieta correcta, el consumo de agua simple potable y la actividad física.",5,cn,santillana,,92 y 93,,,,,,5,cn,sep,,20 y 21
5,10/04,geo,"Localiza capitales, ciudades y otros lugares representativos de los continentes a partir de las coordenadas geográficas.",5,,,,108 y 109,,,,,,5,geo,sep,,"11, 12 y 29 a 31"
5,10/04,vs,Consciencia de sí para la adquisición de estilos de vida activos.,5,vs,vidasaludable,,152 y 153,,,,,,,,,,
5,10/05,mat,Anticipación del número de cifras del cociente de una división con números naturales.,5,mat,santillana,,56 y  57,5,mat,detectives,,8,5,mat,sep,,13 a 15
5,10/05,cn,"Describe causas y consecuencias del sobrepeso y de la obesidad, y su prevención mediante una dieta correcta, el consumo de agua simple potable y la actividad física.",5,cn,santillana,,92 y 93,,,,,,5,cn,sep,,20 y 21
5,10/05,esp,Comprende la función de fábulas y refranes. Interpreta el significado de fábulas y refranes.,5,esp,santillana,,24 a 27,,,,,,5,esp,sep,,21 a 24
5,10/05,hist,Describe características del campo y la ciudad durante las primeras décadas del siglo XIX.,5,hist,santillana,,130 y 131,,,,,,5,hist,sep,,32 y 33
5,10/05,ef,"Integra sus habilidades motrices en retos y situaciones de juego e iniciación deportiva, con la intención de reconocer sus límites, posibilidades y potencialidades.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,10/06,geo,Reconoce la división política de los continentes.,5,geo,santillana,,115,,,,,,5,geo,sep,,32
5,10/06,mat,Conocimiento y uso de las relaciones entre los elementos de la división de números naturales.,5,mat,santillana,,58 y 59,5,mat,detectives,,9,5,mat,sep,,16 a 18
5,10/06,fcye,"Explica situaciones que pueden afectar su dignidad e integridad personal y sus derechos, se apoya en otras personas e instituciones para protegerse y defenderse.",5,fcye,santillana,,142 y 143,,,,,,5,fcye,sep,,10 a 19
5,10/06,esp,"Organiza un texto en párrafos con oración tópico y oraciones de apoyo, empleando puntuación y ortografía convencionales. Registra, en notas, los aspectos centrales de una exposición oral.",5,esp,santillana,,18 y 19,,,,,,5,esp,sep,,9 a 13
5,10/06,ced,"Explica situaciones que pueden afectar su dignidad e integridad personal y sus derechos, se apoya en otras personas e instituciones para protegerse y defenderse.",5,ced,santillana,,142 y 143,,,,,,5,fcye,sep,,10 a 19
5,10/07,mat,Conocimiento y uso de las relaciones entre los elementos de la división de números naturales.,5,mat,santillana,,58 y 59,5,mat,detectives,,9,5,mat,sep,,16 a 18
5,10/07,hist,Describe características del campo y la ciudad durante las primeras décadas del siglo XIX.,5,hist,santillana,,130 y 131,,,,,,5,hist,sep,,32 y 33
5,10/07,esp,Comprende la función de fábulas y refranes. Interpreta el significado de fábulas y refranes.,5,esp,santillana,,24 a 27,,,,,,5,esp,sep,,21 a 24
5,10/07,art,Utiliza la forma y el color de manera intencional en la representación de personajes ficticios.,5,art,santillana,,"16, 17, 180 y 181",,,,,,,,,,
5,10/07,ef,"Integra sus habilidades motrices en retos y situaciones de juego e iniciación deportiva, con la intención de reconocer sus límites, posibilidades y potencialidades.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,10/08,espb,"Realiza síntesis y resúmenes de forma autónoma: integra información de fuentes orales y escritas. Selecciona, reorganiza y sintetiza las ideas centrales.",5,espb,santillana,,36,,,,,,5,esp,sep,,39 y 40
5,10/08,mat,Conocimiento y uso de las relaciones entre los elementos de la división de números naturales.,5,mat,santillana,,58 y 59,5,mat,detectives,,9,5,mat,sep,,16 a 18
5,10/08,ing,Interpreta expresiones usadas por interlocutores.,,,,,,,,,,,,,,,
5,10/08,es,"Analiza y valora las libertades y oportunidades que posee para desarrollarse, estudiar y ser una agente de cambio positivo.",,,,,,5,es,socio,,46 y 47,,,,,
5,10/08,vs,Consciencia de sí para la adquisición de estilos de vida activos.,5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn4_t1/index.html,152 y 153,,,,,,,,,,
