grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
2,10/11,vs,Expresa ideas acerca de la importancia de incluir en su consumo diario alimentos saludables de los distintos grupos,2,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/compartir_recursos/trim1/bgn2_t1/index.html,127,,,,,,,,,,
2,10/11,es,"Identifica las situaciones que le generan emociones aflictivas y no aflictivas, y las comparte con los demás.",,,,,,2,es,socio,,10 y 11,,,,,
2,10/11,art,Participa en la presentación del trabajo artístico frente a público.,2,art,santillana,,414 y 415,,,,,,,,,,
2,10/11,cm,"Reconoce los órganos de los sentidos, su función, y practica acciones para su cuidado.",2,cm,santillana,,100,,,,,,2,cm,sep,,22 a 29
2,10/11,lm,"Identifica la sonoridad de las canciones y poemas, así como las características de rimas y coplas. ",2,lm,santillana,,22 y 23,,,,,,2,lm,sep,,44 y 45
2,10/12,ef,"Coordina patrones básicos de movimiento en actividades y juegos que implican elementos perceptivo-motrices, con el propósito de fomentar el control de sí y la orientación en el espacio.",2,ef,santillana,,290 y 291,,,,,,,,,,
2,10/12,lm,"Aprende a utilizar el alfabeto para buscar palabras desconocidas en el diccionario e infiere, con ayuda del profesor, el significado de palabras desconocidas.",2,lm,santillana,,312 y 313,,,,,,2,lm,sep,,156 y 157
2,10/12,art,"Intercambia opiniones, sensaciones y emociones que experimentó al presentar el trabajo artístico frente a público, para hacer una valoración personal.",2,art,santillana,,408 y 409,,,,,,,,,,
2,10/12,mat,"Calcula mentalmente sumas y restas de números de dos cifras, dobles de números de dos cifras y mitades de números pares menores que 100.",2,mat,santillana,,74 y 75,2,mat,detectives,,10 y 11,2,mat,sep,,31 a 35
2,10/12,fcye,"Valora la importancia de pertenecer a una familia, un grupo escolar, vecindario, comunidad y tener amistades que contribuyen a cuidar su integridad física y emocional, y la de otras personas.",2,fcye,santillana,,114 y 115,,,,,,2,fcye,sep,,10 a 17
2,10/13,ced,"Valora la importancia de pertenecer a una familia, un grupo escolar, vecindario, comunidad y tener amistades que contribuyen a cuidar su integridad física y emocional, y la de otras personas.",2,ced,santillana,,114 y 115,,,,,,2,fcye,sep,,10 a 17
2,10/13,art,Elige formas y figuras diversas para representarlas con el cuerpo.,2,art,santillana,,150 y 151,,,,,,,,,,
2,10/13,cm,"Reconoce los órganos de los sentidos, su función, y practica acciones para su cuidado.",2,cm,santillana,,100,,,,,,2,cm,sep,,22 a 29
2,10/13,lm,Elige el tema de su exposición y expresa verbalmente por qué le interesa y por qué considera necesario hablar al respecto.,2,lm,santillana,,166 y 167,,,,,,2,lm,sep,,93 a 95 y 98
2,10/13,mat,Resuelve problemas de suma y resta con números naturales hasta 1 000.,2,mat,santillana,,74 y 75,2,mat,detectives,,10 y 11,2,mat,sep,,31 a 35
2,10/14,ef,"Coordina patrones básicos de movimiento en actividades y juegos que implican elementos perceptivo-motrices, con el propósito de fomentar el control de sí y la orientación en el espacio.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,10/14,ing,Participa en la exploración de señalizaciones.,,,,,,,,,,,,,,,
2,10/14,mat,Resuelve problemas de suma y resta con números naturales hasta 1 000.,2,mat,santillana,,74 y 75,2,mat,detectives,,12 y 13,2,mat,sep,,31 a 35
2,10/14,cm,"Reconoce los órganos de los sentidos, su función, y practica acciones para su cuidado.",2,cm,santillana,,101,,,,,,2,cm,sep,,23 a 25
2,10/14,lmb,"Participa en la escritura de textos en lengua indígena para ampliar y enriquecer la función de la escritura, en la comunidad educativa.",,,,,,,,,,,,,,,
2,10/15,vs,"Practica hábitos de higiene personal y limpieza del entorno, que le ayudan a cuidar la salud familiar, en la escuela y la comunidad",2,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/compartir_recursos/trim2/rdvspbt2e3-gen/index.html,390,,,,,,,,,,
2,10/15,mat,Resuelve problemas de suma y resta con números naturales hasta 1 000.,2,mat,santillana,,74 y 75,2,mat,detectives,,12 y 13,2 ,mat,sep,,31 a 35
2,10/15,cm,"Reconoce los órganos de los sentidos, su función, y practica acciones para su cuidado.",2,cm,santillana,,100 y 101,,,,,,2,cm,sep,,23 a 25
2,10/15,art,Elige formas y figuras diversas para representarlas con el cuerpo.,2,art,santillana,,150 y 151,,,,,,,,,,
2,10/15,es,Utiliza de manera autónoma técnicas de atención y regulación de impulsos provocados por emociones aflictivas.,,,,,,2,es,socio,,34 y 35,,,,,
