grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
2,10/25,vs,"Reconoce sus capacidades al practicar juegos y actividades físicas, mostrando seguridad y confianza.",2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspbt3e2-gen/index.html,128 a 130,,,,,,,,,,
2,10/25,es,Identifica actividades en las que necesita ayuda y que desearía hacer por sí mismo.,,,,,,2,es,socio,,18 y 19,,,,,
2,10/25,art,Inventa movimientos que pueden acompañar la presentación artística.,2,art,santillana,,"16, 17, 150 y 151",,,,,,,,,,
2,10/25,cm,"Describe costumbres, tradiciones, celebraciones y conmemoraciones del lugar donde vive y cómo han cambiado con el paso del tiempo.",2,cm,santillana,,103,,,,,,2,cm,sep,,36 a 39
2,10/25,lm,"Explora textos en los acervos para seleccionar aquellos que le permitan saber más sobre el tema que le interesa. Utiliza diferentes indicadores como: título, subtítulo, estructura, ilustraciones para seleccionar materiales que puedan cumplir con sus propósitos.
Lee los textos e identifica qué información le ofrece cada uno sobre el tema de su interés.",2,lm,santillana,,180 y 181,,,,,,2,lm,sep,,108 a 111
2,10/26,ef,"Coordina patrones básicos de movimiento en actividades y juegos que implican elementos perceptivo-motrices, con el propósito de fomentar el control de sí y la orientación en el espacio.",2,ef,santillana,,148 y 149,,,,,,,,,,
2,10/26,lm,"Explora, lee y relee el material de lectura elegido con ayuda del profesor si es necesario. Registra en notas lo más relevante del tema seleccionado para apoyar su exposición.",2,lm,santillana,,160 y 161,,,,,,2,lm,sep,,90
2,10/26,art,Inventa movimientos que pueden acompañar la presentación artística.,2,art,santillana,,"156, 157, 292 y 293",,,,,,,,,,
2,10/26,mat,Resuelve problemas de suma y resta con números naturales hasta 1 000.,2,mat,santillana,,72 y 73,2,mat,detectives,,10 y 11,2,mat,sep,,26 a 30
2,10/26,fcye,"Reconoce la satisfacción de necesidades básicas de salud, educación, alimentación y vivienda como parte de sus derechos.",2,fcye,santillana,,118 y 119,,,,,,2,fcye,sep,,18 a 25
2,10/27,ced,"Reconoce la satisfacción de necesidades básicas de salud, educación, alimentación y vivienda como parte de sus derechos.",2,ced,santillana,,118 y 119,,,,,,2,fcye,sep,,18 a 25
2,10/27,art,"Realiza movimientos corporales rítmicos a diferentes velocidades, para realizar secuencias.",2,art,santillana,,"298, 299, 408 y 409",,,,,,,,,,
2,10/27,cm,"Describe costumbres, tradiciones, celebraciones y conmemoraciones del lugar donde vive y cómo han cambiado con el paso del tiempo.",2,cm,santillana,,103,,,,,,2,cm,sep,,36 a 39
2,10/27,lm,Lee para otros cuidando el volumen de su voz y la entonación. Escucha atentamente la lectura en voz alta que realizan sus compañeros.,2,lm,santillana,,22 y 23,,,,,,2,lm,sep,,31
2,10/27,mat,"Calcula mentalmente sumas y restas de números de dos cifras, dobles de números de dos cifras y mitades de números pares menores que 100.",2,mat,santillana,,74 y 75,2,mat,detectives,,12 y 13,2,mat,sep,,35
2,10/28,ef,"Expresa ideas y emociones al comunicarse verbal, corporal y actitudinalmente en distintas actividades motrices, para asignarles un carácter personal.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,10/28,ing,Reconoce partes del cuerpo por su nombre.,,,,,,,,,,,,,,,
2,10/28,mat,"Recolecta, registra y lee datos en tablas.",2,mat,santillana,,76 y 77,2,mat,detectives,,14 ,2,mat,sep,,36 a 40
2,10/28,cm,"Describe costumbres, tradiciones, celebraciones y conmemoraciones del lugar donde vive y cómo han cambiado con el paso del tiempo.",2,cm,santillana,,104 y 105,,,,,,2,cm,sep,,33 a 35
2,10/28,lmb,"Usa las mayúsculas al escribir nombres propios y utiliza el punto al terminar una oración, con ayuda del maestro.",2,lmb,santillana,,30 y 31,,,,,,2,lm,sep,,38
2,10/29,vs,Consciencia de sí para la adquisición de estilos de vida activos.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,268 y 269,,,,,,,,,,
2,10/29,lm,"Al exponer, expresa de forma oral sus ideas con claridad. Al atender la exposición, escucha respetuosamente las exposiciones de sus compañeros.",2,lm,santillana,,166 y 167,,,,,,2,lm,sep,,93 a 95 
2,10/29,lm,"Al exponer, expresa de forma oral sus ideas con claridad. Al atender la exposición, escucha respetuosamente las exposiciones de sus compañeros.",2,lm,santillana,,174 y 175,,,,,,2,lm,sep,,104 y 105
2,10/29,lm,"Escucha con atención la lectura en voz alta que hace el profesor o alguno de sus compañeros. Identifica la trama, los personajes principales y algunas de sus características en los textos leídos.",2,lm,santillana,,170 y 171,,,,,,2,lm,sep,,96 y 97
2,10/29,lm,Escucha con atención la lectura en voz alta que hace el profesor o alguno de sus compañeros.,2,lm,santillana,,170 y 171,,,,,,2,lm,sep,,96 y 97
,,,,,,,,,,,,,,,,,,
