grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,10/18,vs,"Toma decisiones respecto del consumo de alimentos procesados, con base en la información de los sellos y advertencias asociada a enfermedades.",4,vs,vidasaludable,"https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/compartir_recursos/trim1/cgn2_t1/index.html
",147,,,,,,,,,,
4,10/18,fcye,"Valora que es una persona con dignidad, que ejerce sus derechos y promueve el respeto y aprecio a la identidad, la dignidad y los derechos de las demás personas.",4,fcye,santillana,,132,,,,,,4,fcye,sep,,20 a 27
4,10/18,es,Utiliza estrategias de toma de perspectiva en situaciones aflictivas para mantener un estado de bienestar.,,,,,,4,es,socio,,30 y 31,,,,,
4,10/18,cn,"Valora las vacunas como aportes de la ciencia y del desarrollo técnico para prevenir enfermedades, así como de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud.",4,cn,santillana,,80,,,,,,4,cn,sep,,28 a 31
4,10/18,art,Compara piezas artísticas tridimensionales e identifica sus características.,4,art,santillana,,164 y 165,,,,,,,,,,
4,10/19,ef,"Combina distintas habilidades motrices en retos, individuales y cooperativos, con el fin de tomar decisiones y mejorar su actuación.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,10/19,hist,"Ubica temporal y espacialmente las culturas mesoamericanas aplicando los términos siglo, a.C. y d.C.",4,hist,santillana,,114 y 115,,,,,,4,hist,sep,,26 a 29
4,10/19,mat,"Identificación de la regularidad en sucesiones compuestas con progresión aritmética, para encontrar términos faltantes o averiguar si un término pertenece o no a la sucesión.",4,mat,santillana,,53,4,mat,detectives,,10,4,mat,sep,,22 a 25
4,10/19,lm,Localiza información específica a partir de la lectura de diversos textos sobre un tema III/III.,3,lm,santillana,,172 y 173,,,,,,3,esp,sep,,102
4,10/19,geo,"Valora la diversidad de paisajes en México a partir de sus componentes naturales, sociales, culturales, económicos y políticos.",4,geo,santillana,,98 y 99,,,,,,4,geo,sep,,31 a 35
4,10/20,ced,"Valora que es una persona con dignidad, que ejerce sus derechos y promueve el respeto y aprecio a la identidad, la dignidad y los derechos de las demás personas.",4,ced,santillana,,132,,,,,,4,fcye,sep,,20 a 27
4,10/20,mat,Resolución de sumas o restas de números decimales en el contexto del dinero. Análisis de expresiones equivalentes.,4,mat,santillana,,54 y 55,4,mat,detectives,,22 y 23,4,mat,sep,,30 a 32
4,10/20,cn,"Valora las vacunas como aportes de la ciencia y del desarrollo técnico para prevenir enfermedades, así como de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud.",4,cn,santillana,,80,,,,,,4,cn,sep,,28 a 31
4,10/20,hist,"Ubica temporal y espacialmente las culturas mesoamericanas aplicando los términos siglo, a.C. y d.C.",4,hist,santillana,,114 y 115,,,,,,4,hist,sep,,26 a 29
4,10/20,lm,Emplea la paráfrasis al exponer un tema.,4,esp,santillana,,184 y 185,,,,,,4,esp,sep,,103
4,10/21,ef,"Combina distintas habilidades motrices en retos, individuales y cooperativos, con el fin de tomar decisiones y mejorar su actuación.",4,ef,santillana,,314 y 315,,,,,,,,,,
4,10/21,geo,"Reconoce la distribución de las principales formas del relieve, volcanes y regiones sísmicas de México.",4,geo,santillana,,100 y 101,,,,,,4,geo,sep,,45 a 49
4,10/21,mat,Resolución de sumas o restas de números decimales en el contexto del dinero. Análisis de expresiones equivalentes.,4,mat,santillana,,54 y 55,4,mat,detectives,,22 y 23,4,mat,sep,,26 a 29
4,10/21,lm,Resume información para redactar textos de apoyo para una exposición.,4,esp,santillana,,36 y 37,,,,,,4,esp,sep,,56 y 57
4,10/21,ing,Explora anuncios y avisos de espacios públicos.,,,,,,,,,,,,,,,
4,10/22,vs,Relaciona los hábitos de higiene y limpieza con las condiciones del ambiente que inciden en la transmisión de alguna enfermedad común en el lugar donde vive.,4,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/compartir_recursos/trim2/rdvspat2e3-gen/index.html,140,,,,,,,,,,
4,10/22,mat,Resolución de sumas o restas de números decimales en el contexto del dinero. Análisis de expresiones equivalentes.,4,mat,santillana,,54 y 55,4,mat,detectives,,22 y 23,4,mat,sep,,26 a 29
4,10/22,lmb,Comenta de qué trata la narración y cuál es el propósito o la enseñanza o advertencia.,,,,,,,,,,,,,,,
4,10/22,art,Compara piezas artísticas tridimensionales e identifica sus características.,4,art,santillana,,170 y 171,,,,,,,,,,
4,10/22,es,"Genera y expresa su punto de vista respecto a las situaciones que le rodean, distinguiendo lo bueno de lo malo, lo verdadero de lo falso.",,,,,,4,es,socio,,40 y 41,,,,,
