grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,11/08,art,Ensaya la pieza teatral seleccionada para mejorar su ejecución.,5,art,santillana,,334 y 335,,,,,,,,,,
5,11/08,es,"Analiza acciones que afectan o que favorecen el bienestar de niños y niñas al recibir un trato digno, cuidado y amor.",,,,,,5,es,socio,,34 y 35,,,,,
5,11/08,cn,"Explica la periodicidad, la duración, los cambios en el cuerpo y el periodo fértil del ciclo menstrual, así como su relación con la concepción y la prevención de embarazos.",5,cn,santillana,,98 y 99,,,,,,5,cn,sep,,38 a 41
5,11/08,geo,Reconoce la distribución de los climas en los continentes.,5,geo,santillana,,120 y 121,,,,,,5,geo,sep,,55 a 61
5,11/08,vs,"Diseña menús para incrementar en su refrigerio escolar el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimenticia.",5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,307 y 308,,,,,,,,,,
5,11/09,mat,"Conocimiento y uso de unidades estándar de capacidad y peso: el litro, el mililitro, el gramo, el kilogramo y tonelada.",5,mat,santillana,,66 y 67 ,5,mat,detectives,,13,5,mat,sep,,29 a 33
5,11/09,cn,"Explica la periodicidad, la duración, los cambios en el cuerpo y el periodo fértil del ciclo menstrual, así como su relación con la concepción y la prevención de embarazos.",5,cn,santillana,,98 y 99,,,,,,5,cn,sep,,38 a 41
5,11/09,esp,Emplea referencias bibliográficas para ubicar fuentes de consulta.,5,esp,santillana,,44 y 45 ,,,,,,5,esp,sep,,"43, 47 y 48"
5,11/09,hist,Investiga aspectos de la cultura y de la vida cotidiana del pasado y valora su importancia.,5,hist,santillana,,130 y 131,,,,,,5,hist,sep,,32 a 34
5,11/09,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/10,geo,Reconoce la distribución de los climas en los continentes.,5,geo,santillana,,120 y 121,,,,,,5,geo,sep,,55 a 61
5,11/10,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69 ,5,mat,detectives,,14,5,mat,sep,,34 a 37
5,11/10,fcye,"Ejerce su derecho a ser protegido contra cualquier forma de maltrato, abuso o explotación de tipo sexual, laboral o acoso presencial o en las redes sociales.",5,fcye,santillana,,146 y 147,,,,,,5,fcye,sep,,24 a 28
5,11/10,esp,Utiliza la información relevante de los textos que lee en la producción de los propios.,5,esp,santillana,,38 ,,,,,,5,esp,sep,,40
5,11/10,ced,"Ejerce su derecho a ser protegido contra cualquier forma de maltrato, abuso o explotación de tipo sexual, laboral o acoso presencial o en las redes sociales.",5,ced,santillana,,146 y 147,,,,,,5,fcye,sep,,24 a 28
5,11/11,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69 ,5,mat,detectives,,14,5,mat,sep,,34 a 37
5,11/11,hist,Investiga aspectos de la cultura y de la vida cotidiana del pasado y valora su importancia.,5,hist,santillana,,130 y 131,,,,,,5,hist,sep,,32 a 34
5,11/11,esp,Identifica la organización de las ideas en un texto expositivo.,5,esp,santillana,,40 y 41,,,,,,5,esp,sep,,44
5,11/11,art,"Participa en la presentación de la pieza teatral seleccionada, frente a público.",5,art,santillana,,464 y 465,,,,,,,,,,
5,11/11,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/12,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60  a 63,5,mat,detectives,,10,5,mat,sep,,19 a 23
5,11/12,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60  a 63,5,mat,detectives,,10,5,mat,sep,,19 a 23
5,11/12,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10,5,mat,sep,,19 a 23
5,11/12,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10,5,mat,sep,,19 a 23
5,11/12,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
