grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
1,11/22,es,"Se identifica como parte de la diversidad cultural, describe sus propias características y nombra lo que no le gusta de otros.",,,,,,1,es,socio,,58 y 59,,,,,
1,11/22,art,Explora el espacio general y personal al realizar distintos tipos de movimientos.,1,art,santillana,,162 y 163,,,,,,,,,,
1,11/22,cm,Distingue características de la naturaleza en el lugar en donde vive.,1,cm,santillana,,120 y 121,,,,,,1,cm,sep,,38 a 45
1,11/22,lm,"Sigue el texto impreso mientras el docente canta o lee las canciones o rondas infantiles seleccionadas; mientras lo hace, establece relaciones entre algunas partes orales con partes escritas. Reconoce las semejanzas gráfico- sonoras de palabras que inician o terminan igual.",1,lm,santillana,,62 y 63,,,,,,1,lm,sep,,"57, 59 a 61 y 69"
1,11/22,vs,"Expresa razones acerca de por qué los alimentos procesados ponen en riesgo la salud, en comparación con los alimentos frescos.",1,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,276 ,,,,,,,,,,
1,11/23,mat,Construye configuraciones utilizando figuras geométricas.,1,mat,santillana,,98 y 99,1,mat,detectives,,11,1,mat,sep,,50 a 55
1,11/23,fcye,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas.",1,fcye,santillana,,132 y 133,,,,,,1,fcye,sep,,26 a 31
1,11/23,lm,"Sigue el texto impreso mientras el docente canta o lee las canciones o rondas infantiles seleccionadas; mientras lo hace, establece relaciones entre algunas partes orales con partes escritas. Reconoce las semejanzas gráfico- sonoras de palabras que inician o terminan igual.",1,lm,santillana,,62 y 63,,,,,,1,lm,sep,,"57, 59 a 61 y 69"
1,11/23,art,Improvisa movimientos al escuchar canciones infantiles.,1,art,santillana,,162 y 163,,,,,,,,,,
1,11/23,ef,"Explora el equilibrio, la orientación espacio-temporal y la coordinación motriz en actividades y juegos, para impulsar la expresión y control de sus movimientos.",1,ef,santillana,,160 y 161,,,,,,,,,,
1,11/24,cm,Distingue características de la naturaleza en el lugar en donde vive.,1,cm,santillana,,120 y 121,,,,,,1,cm,sep,,38 a 45
1,11/24,mat,Construye configuraciones utilizando figuras geométricas.,1,mat,santillana,,232 y 233,1,mat,detectives,,41,1,mat,sep,,117 a 121
1,11/24,lm,"Al exponer:
• Expresa de forma oral sus ideas con claridad.
• Utiliza los carteles para complementar su discurso.
Al atender la exposición:
• Escucha respetuosamente las exposiciones de sus compañeros.
• Plantea dudas sobre las exposiciones de sus compañeros.",1,lm,santillana,,56 y 57,,,,,,1,lm,sep,,58
1,11/24,ing,Escucha y participa en la lectura de nombres.,,,,,,,,,,,,,,,
1,11/24,ced,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas. ",1,ced,santillana,,132 y 133,,,,,,1,fcye,sep,,26 a 31
1,11/25,lmb,Escucha-lee un texto que el maestro lee en voz alta.,,,,,,,,,,,,,,,
1,11/25,art,Improvisa movimientos al escuchar canciones infantiles.,1,art,santillana,,162 y 163,,,,,,,,,,
1,11/25,cm,Distingue características de la naturaleza en el lugar en donde vive.,1,cm,santillana,,120 y 121,,,,,,1,cm,sep,,38 a 45
