grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
2,11/22,vs,"Expresa razones acerca de por qué los alimentos procesados ponen en riesgo la salud, en comparación con los alimentos frescos.",2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvsset3e1-gen/index.html,134,,,,,,,,,,
2,11/22,es,Reconoce y nombra aspectos que tiene en común con otras personas.,,,,,,2,es,socio,,38 y 39,,,,,
2,11/22,art,"Utiliza los colores primarios y secundarios, cálidos y fríos, para expresar sentimientos.",2,art,santillana,,150 y 151,,,,,,,,,,
2,11/22,cm,"Clasifica objetos, animales y plantas por su tamaño.",2,cm,santillana,,106,,,,,,2,cm,sep,,40 a 45
2,11/22,lm,"Identifica las características comunes de forma y contenidos de los textos instructivos para elaborar algo: título, materiales y procedimiento; acomodo en la página y uso de numerales o viñetas, por ejemplo.                     Reconstruye el proceso verbalmente, de forma coherente y secuenciada.",2,lm,santillana,,32 y 33,,,,,,2,lm,sep,,41 a 43 y 46 a 48
2,11/23,ef,"Expresa ideas y emociones al comunicarse verbal, corporal y actitudinal en distintas actividades motrices, para asignarles un carácter personal.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,11/23,lm,Escucha atentamente la lectura en voz alta que realizan sus compañeros.                              Identifica las características de rimas y coplas. Identifica la sonoridad de las canciones y poemas.,2,lm,santillana,,22 y 23,,,,,,2,lm,sep,,44 y 45
2,11/23,art,"Utiliza los colores primarios y secundarios, cálidos y fríos, para expresar sentimientos.",2,art,santillana,,150 y 151,,,,,,,,sep,,
2,11/23,mat,Resuelve problemas de multiplicación con números naturales menores que 10.,2,mat,santillana,,222 y 223,2,mat,detectives,,38 y 39,2,mat,sep,,116 a 125
2,11/23,fcye,"Practica su libertad al expresar con responsabilidad sus opiniones y necesidades en la familia y en el aula, así como reflexiona sobre los efectos de sus acciones en sí y en las demás personas.",2,fcye,santillana,,120 y 121,,,,,,2,fcye,sep,,26 a 33
2,11/24,ced,"Practica su libertad al expresar con responsabilidad sus opiniones y necesidades en la familia y en el aula, así como reflexiona sobre los efectos y sus acciones en sí y en las demás personas.",2,ced,santillana,,120 y 121,,,,,,2,fcye,sep,,26 a 33
2,11/24,art,"Utiliza los colores primarios y secundarios, cálidos y fríos, para expresar sentimientos.",2,art,santillana,,150 y 151,,,,,,,,,,
2,11/24,cm,"Clasifica objetos, animales y plantas por su tamaño.",2,cm,santillana,,106,,,,,,2,cm,sep,,40 a 45
2,11/24,lm,"Revisa y corrige, con ayuda del profesor, la coherencia y propiedad de sus notas: escritura convencional, ortografía.",2,lm,santillana,,321,,,,,,2,lm,sep,,177 y 182
2,11/24,mat,Resuelve problemas de multiplicación con números naturales menores que 10.,2,mat,santillana,,222 y 223,2,mat,detectives,,38 y 39,2,mat,sep,,116 a 125
2,11/25,ef,"Expresa ideas y emociones al comunicarse verbal, corporal y actitudinal en distintas actividades motrices para asignarles un carácter personal.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,11/25,ing,Explora información en materiales ilustrados.,,,,,,,,,,,,,,,
2,11/25,mat,Resuelve problemas de multiplicación con números naturales menores que 10.,2,mat,santillana,,222 y 223,2,mat,detectives,,38 y 39,2,mat,sep,,116 a 125
2,11/25,cm,"Identifica el impacto de acciones propias y de otros  en el medioambiente, y participa en su cuidado.",2,cm,santillana,,107,,,,,,2,cm,sep,,46 a 49
2,11/25,lmb,"Busca información por sí mismo, utilizando  las fuentes de información que tiene a su alcance.",,,,,,,,,,,,,,,
2,11/26,vs,Reconoce que la práctica de hábitos de higiene y limpieza reduce el riesgo de contraer enfermedades.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn4_t1/index.html,124,,,,,,,,,,
2,11/26,lm,Al exponer: <br />• Expresa de forma oral sus ideas con claridad.<br />• Utiliza los carteles para complementar su presentación.<br /><br />Al atender la exposición: <br />• Escucha respetuosamente las exposiciones de sus compañeros.<br />• Plantea dudas sobre las exposiciones de sus compañeros.,2,lm,santillana,,166 y 167,,,,,,2,lm,sep,,93 a 95 y 98
2,11/26,lm,"Revisa y corrige, con ayuda del profesor, la coherencia y propiedad de sus notas: escritura convencional, ortografía.",2,lm,santillana,,321,,,,,,2,lm,sep,,177 y 182
2,11/26,lm,"Identifica las características comunes de forma y contenido de los textos instructivos para elaborar algo: título, materiales y procedimientos; acomodo en la página y uso de numerales o viñetas, por ejemplo.               Reconstruye el proceso verbalmente, de forma coherente y secuenciada.",2,lm,santillana,,32 y 33,,,,,,2,lm,sep,,41 a 43 y 46 a 48
2,11/26,lm,Escucha atentamente la lectura en voz alta que realizan sus compañeros.                                Identifica las características de rimas y coplas. Identifica la sonoridad de las canciones y poemas.,2,lm,santillana,,22 y 23,,,,,,2,lm,sep,,44 y 45
