grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,11/22,art,"Opina sobre el proceso y los resultados obtenidos ante público en relación con la presentación de una pieza teatral, para identificar fortalezas y aspectos a mejorar.",5,art,santillana,,"334, 335, 464 y 465",,,,,,,,,,
5,11/22,es,Evalúa las causas y consecuencias de los estereotipos y prejuicios comunes asociados a la diversidad humana y sociocultural.,,,,,,5,es,socio,,52 y 53,,,,,
5,11/22,cn,"Describe el proceso general de reproducción en los seres humanos: fecundación, embarazo y parto, valorando los aspectos afectivos y las responsabilidades implicadas.",6,cn,santillana,,92 y 93,,,,,,6,cn,sep,,36 a 43
5,11/22,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,120 y 121,,,,,,5,geo,sep,, 55 a 61
5,11/22,vs,"Toma decisiones sobre su alimentación, reconociendo impactos en el aprovechamiento de recursos naturales.",5,vs,vidasaludable,,163,,,,,,,,,,
5,11/23,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,11/23,cn,"Describe el proceso general de reproducción en los seres humanos: fecundación, embarazo y parto, valorando los aspectos afectivos y las responsabilidades implicadas.",6,cn,santillana,,92 y 93,,,,,,5,cn,sep,,36 a 43
5,11/23,esp,Emplea referencias bibliográficas para ubicar fuentes de consulta.,5,esp,santillana,,44 y 45,,,,,,5,esp,sep,,"43, 47 y 48"
5,11/23,hist,"Explica el pensamiento de liberales y conservadores, y sus consecuencias en la política y economía del país.",5,hist,santillana,,132 y 133,,,,,,5,hist,sep,,50 a 58
5,11/23,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/24,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,122 y 123,,,,,,5,geo,sep,, 63 a 67
5,11/24,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,11/24,fcye,Dialoga acerca de la libertad como un derecho humano que contribuye a su autorrealización y desarrollo pleno.,5,fcye,santillana,,148 y 149,,,,,,5,fcye,sep,,34 a 37
5,11/24,esp,"Utiliza la información relevante de los textos que lee en la producción de los propios. 
Emplea referencias bibliográficas para ubicar fuentes de consulta. 
Emplea citas textuales para referir información de otros en sus escritos.",5,esp,santillana,,42 a 45,,,,,,5,esp,sep,,45 a 48
5,11/24,ced,Dialoga acerca de la libertad como un derecho humano que contribuye a su autorrealización y desarrollo pleno.,5,ced,santillana,,148 y 149,,,,,,5,fcye,sep,,34 a 37
5,11/25,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,11/25,hist,"Explica el pensamiento de liberales y conservadores, y sus consecuencias en la política y economía del país.",5,hist,santillana,,132 y 133,,,,,,5,hist,sep,,50 a 58
5,11/25,esp,"Utiliza la información relevante de los textos que lee en la producción de los propios. 
Emplea referencias bibliográficas para ubicar fuentes de consulta. 
Emplea citas textuales para referir información de otros en sus escritos.",5,esp,santillana,,44 y 45,,,,,,5,esp,sep,,"43, 47 y 48"
5,11/25,art,"Opina sobre el proceso y los resultados obtenidos ante público en relación con la presentación de una pieza teatral, para identificar fortalezas y aspectos a mejorar.",5,art,santillana,,"334, 335, 464 y 465",,,,,,,,,,
5,11/25,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/26,mat,"Conocimiento y uso de unidades estándar de capacidad y peso: el litro, el mililitro, el gramo, el kilogramo y tonelada.",5,mat,santillana,,66 y 67,5,mat,detectives,,13,5,mat,sep,,29 a 33
5,11/26,mat,"Conocimiento y uso de unidades estándar de capacidad y peso: el litro, el mililitro, el gramo, el kilogramo y tonelada.",5,mat,santillana,,66 y 67,5,mat,detectives,,13,5,mat,sep,,29 a 33
5,11/26,mat,"Conocimiento y uso de unidades estándar de capacidad y peso: el litro, el mililitro, el gramo, el kilogramo y tonelada.",5,mat,santillana,,66 y 67,5,mat,detectives,,13,5,mat,sep,,29 a 33
5,11/26,mat,"Conocimiento y uso de unidades estándar de capacidad y peso: el litro, el mililitro, el gramo, el kilogramo y tonelada.",5,mat,santillana,,66 y 67,5,mat,detectives,,13,5,mat,sep,,29 a 33
5,11/26,vs,"Promueve acciones para reducir la propagación de enfermedades transmisibles, al identificar los factores de riesgo y protectores de la salud, en los entornos familiar, escolar y comunitario.",5,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e4-gen/index.html,154,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
