grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,11/22,vs,"Toma decisiones sobre su alimentación, reconociendo impactos en el aprovechamiento de recursos naturales.",6,vs,vidasaludable,,440,,,,,,,,,,
6,11/22,es,Argumenta de qué manera las diferencias entre personas se convierten en fortalezas y retos dentro de una familia o de un grupo escolar.,,,,,,6,es,socio,,40 y 41,,,,,
6,11/22,esp,Conoce la función y estructura de los guiones de radio. Emplea el lenguaje de acuerdo con el tipo de audiencia.,6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/22,hist,Reconoce la importancia del mar Mediterráneo en el desarrollo del comercio y la difusión de la cultura.,6,hist,santillana,,126 a 129,,,,,,6,hist,sep,,42 a 48
6,11/22,geo,"Analiza tendencias y retos del crecimiento, la composición y la distribución de la población mundial.",6,geo,santillana,,250 y 251,,,,,,6,geo,sep,,79 a 85
6,11/23,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/23,mat,Cálculo de distancias reales a través de la medición aproximada de un punto a otro en un mapa.,6,mat,santillana,,64 y 65,6,mat,detectives,,16,6,mat,sep,,31 a 35
6,11/23,cn,"Argumenta en favor de la detección oportuna de cáncer de mama y las conductas sexuales responsables que inciden en su salud: prevención de embarazos e infecciones de transmisión sexual (ITS), como el virus de inmunodeficiencia humana (VIH).",6,cn,santillana,,92 y 93,,,,,,6,cn,sep,,36 a 43
6,11/23,esp,"Resume información de diversas fuentes, conservando los datos esenciales.",6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/23,hist,"Identifica características de las ciudades-Estado, el origen del concepto “democracia” y la importancia de la civilización helenística en la difusión de la cultura.",6,hist,santillana,,126 y 127,,,,,,6,hist,sep,,42 a 45
6,11/24,ced,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,ced,santillana,,138 a 141,,,,,,6,fcye,sep,,32 a 43
6,11/24,art,"Participa en la presentación de la pieza teatral seleccionada, frente a público.",6,art,santillana,,328 y 329,,,,,,,,,,
6,11/24,fcye,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,fcye,santillana,,138 a 141,,,,,,6,fcye,sep,,32 a 43
6,11/24,mat,Cálculo de distancias reales a través de la medición aproximada de un punto a otro en un mapa.,6,mat,santillana,,64 y 65,6,mat,detectives,,16,6,mat,sep,,31 a 35
6,11/24,esp,Identifica las características generales de los reportajes y su función para integrar información sobre un tema.,6,esp,santillana,,40 a 48,,,,,,6,esp,sep,,43 a 55
6,11/25,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/25,mat,Cálculo de distancias reales a través de la medición aproximada de un punto a otro en un mapa.,6,mat,santillana,,64 y 65,6,mat,detectives,,16,6,mat,sep,,31 a 35
6,11/25,geo,"Analiza tendencias y retos del crecimiento, de la composición y la distribución de la población mundial.",6,geo,santillana,,250 y 251,,,,,,6,geo,sep,,79 a 85
6,11/25,lmb,"Se adentra en el análisis de las letras: comprende el contenido de canciones o textos líricos; identifica figuras, recursos lingüísticos propios a su tradición y su lengua.",,,,,,,,,,,,,,,
6,11/25,cn,"Argumenta en favor de la detección oportuna de cáncer de mama y las conductas sexuales responsables que inciden en su salud: prevención de embarazos e infecciones de transmisión sexual (ITS), como el virus de inmunodeficiencia humana (VIH).",6,cn,santillana,,92 y 93,,,,,,6,cn,sep,,36 a 43
6,11/26,vs,"Promueve acciones para reducir la propagación de enfermedades transmisibles, al identificar los factores de riesgo y protectores de la salud, en los entornos familiar, escolar y comunitario.",6,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e4-gen/index.html,142 y 143,,,,,,,,,,
6,11/26,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,11/26,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
