grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
1,11/29,es,Muestra capacidad para diferir o aplazar recompensas inmediatas.,,,,,,1,es,socio,,54 y 55,,,,,
1,11/29,art,Improvisa movimientos al escuchar canciones infantiles.,1,art,santillana,,162 y 163,,,,,,,,,,
1,11/29,cm,Distingue características de la naturaleza en el lugar en donde vive.,1,cm,santillana,,120 y 121,,,,,,1,cm,sep,,38 a 45
1,11/29,lm,"Identifica las palabras que pueden ser sustituidas por otras similares que transforman el sentido de la ronda, pero que conservan el ritmo y la rima. Explora tantas opciones como sea posible.",1,lm,santillana,,64 y 65,,,,,,1,lm,sep,,"57, 59, 60, 61 y 69"
1,11/29,vs,Expresa ideas acerca de la importancia de incluir en su consumo diario alimentos saludables de los distintos grupos.,1,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn2_t1/index.html,138,,,,,,,,,,
1,11/30,mat,Construye configuraciones utilizando figuras geométricas.,1,mat,santillana,,100 y 101,1,mat,detectives,,35,1,mat,sep,,50 a 55
1,11/30,fcye,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas.",1,fcye,santillana,,132 y 133,,,,,,1,fcye,sep,,26 a 31
1,11/30,lm,"Sigue el texto impreso mientras el docente canta o lee las canciones o rondas infantiles seleccionadas; mientras lo hace, establece relaciones entre algunas partes orales con partes escritas.",1,lm,santillana,,64 y 65,,,,,,1,lm,sep,,"57, 59, 60, 61 y 69"
1,11/30,art,"Realiza movimientos corporales pausados y continuos, para explorar las calidades del movimiento.",1,art,santillana,,168 y 169,,,,,,,,,,
1,11/30,ef,"Pone a prueba sus respuestas motrices en actividades y juegos, individuales y colectivos, con la intención de canalizar y expresar el gusto por moverse.",1,ef,santillana,,296 y 297,,,,,,,,,,
1,12/01,cm,Distingue características de la naturaleza en el lugar en donde vive.,1,cm,santillana,,120 y 121,,,,,,1,cm,sep,,38 a 45
1,12/01,mat,Construye configuraciones utilizando figuras geométricas.,1,mat,santillana,,98 y 99,1,mat,detectives,,41,1,mat,sep,,50 a 55
1,12/01,lm,Escribe palabras que tienen sonidos semejantes y compara sus escrituras.,1,lm,santillana,,62 y 63,,,,,,1,lm,sep,,"57, 59, 60, 61 y 69"
1,12/01,ing,Escucha y participa en la lectura de nombres.,,,,,,,,,,,,,,,
1,12/01,ced,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas.",1,ced,santillana,,132 y 133,,,,,,1,fcye,sep,,26 a 31
1,12/02,lmb,"Comprende que hay lenguaje de cortesía y respeto para dirigirse a los demás, especialmente a sus mayores.",1,lm,santillana,,318 y 319,,,,,,1,lm,sep,,174 a 177
1,12/02,art,"Realiza movimientos corporales pausados y continuos, para explorar las calidades del movimiento.",1,art,santillana,,168 y 169,,,,,,,,,,
1,12/02,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,,"122 y 123, 256 y 257",,,,,,1,cm,sep,,"46 a 51, 98 a 103"
1,12/02,mat,"Estima, compara y ordena longitudes directamente y con un intermediario.",1,mat,santillana,,102 y 103 ,1,mat,detectives,,21,1,mat,sep,,56 a 60
1,12/02,ef,"Pone a prueba sus respuestas motrices en actividades y juegos, individuales y colectivos, con la intención de canalizar y expresar el gusto por moverse.",1,ef,santillana,,414 y 415,,,,,,,,,,
1,12/03,mat,"Estima, compara y ordena longitudes directamente y con un intermediario.",1,mat,santillana,,102 y 103 ,1,mat,detectives,,21,1,mat,sep,,56 a 60
1,12/03,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,,"122 y 123, 256 y 257",,,,,,1,cm,sep,,"46 a 51, 98 a 103"
1,12/03,es,Identifica acciones que quiere o necesita realizar para alcanzar un objetivo específico.,,,,,,1,es,socio,,56 y 57,,,,,
1,12/03,art,"Realiza movimientos corporales pausados y continuos, para explorar las calidades del movimiento.",1,art,santillana,,168 y 169,,,,,,,,,,
1,12/03,vs,"Reconoce que la práctica de hábitos de higiene y limpieza reduce el riesgo de contraer enfermedades.
     ",1,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn4_t1/index.html,143,,,,,,,,,,
