grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
2,11/29,vs,Expresa ideas acerca de la importancia de incluir en su consumo diario alimentos saludables de los distintos grupos.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,133,,,,,,,,,,
2,11/29,es,"Escucha las demandas de los compañeros, hermanos o padres de familia y es capaz de decirlas con sus propias palabras.",,,,,,2,es,socio,,Educación Socioemocional 2: 20 y 21,,,,,
2,11/29,art,"Utiliza los colores primarios y secundarios, cálidos y fríos, para expresar sentimientos.",2,art,santillana,,"16, 17, 150 y 151",,,,,,,,,,
2,11/29,cm,"Describe cambios en la naturaleza a partir de lo que observa en el día y la noche, y durante el año.",2,cm,santillana,,108,,,,,,2,cm,sep,,50 a 55
2,11/29,lm,"Identifica las características comunes de forma y contenido de los textos instructivos para elaborar algo: título, materiales y procedimiento; acomodo en la página y uso de numerales o viñetas, por ejemplo.",2,lm,santillana,,32 y 33,,,,,,2,lm,sep,,41 a 43 y 46 a 48
2,11/30,ef,"Elabora alternativas de solución ante retos y problemas que se presentan en actividades y juegos, para cumplir con la meta que se plantea.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,11/30,lm,"Identifica las características comunes de forma y contenido de los textos instructivos para elaborar algo: título, materiales y procedimiento; acomodo en la página y uso de numerales o viñetas, por ejemplo. Revisa y corrige, con ayuda del profesor, la coherencia y propiedad de sus notas: escritura convencional, ortografía.",2,lm,santillana,,32 y 33,,,,,,2,lm,sep,,41 a 43 y 46 a 48
2,11/30,art,"Explora los diferentes elementos del espacio personal y social, para identificar sus posibilidades.",2,art,santillana,,"156, 157, 292 y 293",,,,,,,,sep,,
2,11/30,mat,Construye y describe figuras y cuerpos geométricos.,2,mat,santillana,,82 y 83 ,2,mat,detectives,,17,2,mat,sep,,"51 a 53, 55 y 56"
2,11/30,fcye,"Practica su libertad al expresar con responsabilidad sus opiniones y necesidades en la familia y en el aula, así como reflexiona sobre los efectos de sus acciones en sí y en las demás personas.",2,fcye,santillana,,120 y 121,,,,,,2,fcye,sep,,26 a 33
2,12/01,ced,"Practica su libertad al expresar con responsabilidad sus opiniones y necesidades en la familia y en el aula, así como reflexiona sobre los efectos de sus acciones en sí y en las demás personas.",2,ced,santillana,,122 y 123,,,,,,2,fcye,sep,,34 a 41
2,12/01,art,"Explora los diferentes elementos del espacio personal y social, para identificar sus posibilidades.",2,art,santillana,,"156, 157, 292 y 293",,,,,,,,,,
2,12/01,cm,Describe cambios en la naturaleza a partir de lo que observa en el día y la noche y durante el año.,2,cm,santillana,,108,,,,,,2,cm,sep,,50 a 55
2,12/01,lm,"Escucha con atención la lectura en voz alta que hace el profesor o alguno de sus compañeros. Identifica la trama, los personajes principales y algunas de sus características en los textos leídos.",2,lm,santillana,,170 y 171,,,,,,2,lm,sep,, 96 y 97
2,12/01,mat,Construye y describe figuras y cuerpos geométricos.,2,mat,santillana,,82 y 83 ,2,mat,detectives,,17,2,mat,sep,,"51 a 53, 55 y 56"
2,12/02,ef,"Elabora alternativas de solución ante retos y problemas que se presentan en actividades y juegos, para cumplir con la meta que se plantea.",2,ef,santillana,,406 y 407,,,,,,,,,,
2,12/02,ing,Escucha y participa en la lectura de nombres.,,,,,,,,,,,,,,,
2,12/02,mat,Construye y describe figuras y cuerpos geométricos.,2,mat,santillana,,82 y 83 ,2,mat,detectives,,17,2,mat,sep,,"
51 a 53, 55 y 56"
2,12/02,cm,Describe avances en la tecnología relacionadas con el transporte y el esparcimiento en tiempos de la Revolución.,2,cm,santillana,,365,,,,,,2,cm,sep,,129 a 131
2,12/02,lmb,"Adapta el lenguaje para ser escrito, con ayuda del maestro, buscando la mejor forma de “decir” o expresar una idea al escribir textos colectivos.",,,,,,,,,,,,,,,
2,12/03,vs,Reconoce que la práctica de hábitos de higiene y limpieza reduce el riesgo de contraer enfermedades.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e4-gen/index.html,268,,,,,,,,,,
2,12/03,mat,Construye y describe figuras y cuerpos geométricos.,2,mat,santillana,,82 y 83 ,2,mat,detectives,,17,2,mat,sep,,"51 a 53, 55 y 56"
2,12/03,cm,Describe cambios en la naturaleza a partir de lo que observa en el día y la noche y durante el año.,2,cm,santillana,,108,,,,,,2,cm,sep,,50 a 55
2,12/03,art,"Explora los diferentes elementos del espacio personal y social, para identificar sus posibilidades.",2,art,santillana,,"16, 17, 150 y 151",,,,,,,,,,
2,12/03,es,Muestra disposición y optimismo ante retos o tareas poco interesantes pero necesarias.,,,,,,2,es,socio,,30 y 31,,,,,
