grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,11/29,art,"Identifica y comparte sensaciones y emociones respecto a lo que le provocan diversas manifestaciones teatrales, y explica las razones por las que le gustan o disgustan, para formar un juicio crítico.",5,art,santillana,,"16, 17, 180 y 181",,,,,,,,,,
5,11/29,es,"Argumenta sus ideas y puntos de vista de una manera respetuosa y clara, y considera las ideas de los demás.",,,,,,5,es,socio,,24 y 25,,,,,
5,11/29,cn,Reconoce que la biodiversidad está conformada por la variedad de seres vivos y de ecosistemas.,5,cn,santillana,,100 y 101,,,,,,5,cn,sep,,51 a 55
5,11/29,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,122 y 123,,,,,,5,geo,sep,,63 a 67
5,11/29,vs,"Diseña menús para incrementar en su refrigerio escolar, el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimentaria.",5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,307 y 308,,,,,,,,,,
5,11/30,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,11/30,cn,Reconoce que la biodiversidad está conformada por la variedad de seres vivos y de ecosistemas.,5,cn,santillana,,100 y 101,,,,,,5,cn,sep,,51 a 55
5,11/30,esp,Utiliza la información relevante de los textos que lee en la producción de los propios. Emplea referencias bibliográficas para ubicar fuentes de consulta. Emplea citas textuales para referir información de otros en sus escritos.,5,esp,santillana,,43 a 45,,,,,,5,esp,sep,,"43, 46 a 48"
5,11/30,hist,"Explica el pensamiento de liberales y conservadores, y sus consecuencias en la política y economía del país.",5,hist,santillana,,132 y 133,,,,,,5,hist,sep,,50 a 58
5,11/30,ef,"Aplica el pensamiento estratégico en situaciones de juego e iniciación deportiva, para disfrutar de la confrontación lúdica.",5,ef,santillana,,462 y 463,,,,,,,,,,
5,12/01,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,122 y 123,,,,,,5,geo,sep,,63 a 67
5,12/01,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,12/01,fcye,"Analiza necesidades, intereses y motivaciones individuales, de otras personas o grupos al plantearse metas para el bienestar personal y colectivo.",5,fcye,santillana,,150 y 151,,,,,,5,fcye,sep,,50 a 53
5,12/01,esp,Utiliza la información relevante de los textos que lee en la producción de los propios. Emplea referencias bibliográficas para ubicar fuentes de consulta. Emplea citas textuales para referir información de otros en sus escritos.,5,esp,santillana,,43 a 45,,,,,,5,esp,sep,,"43, 46 a 48"
5,12/01,ced,"Analiza necesidades, intereses y motivaciones individuales, de otras personas o grupos al plantearse metas para el bienestar personal y colectivo.",5,ced,santillana,,150 y 151,,,,,,5,fcye,sep,,44 a 49
5,12/02,mat,"Análisis de procedimientos para resolver problemas de proporcionalidad del tipo valor faltante (dobles, triples, valor unitario).",5,mat,santillana,,70 a 73,5,mat,detectives,,15 y 16,5,mat,sep,,45 a 48
5,12/02,hist,"Explica el pensamiento de liberales y conservadores, y sus consecuencias en la política y economía del país.",5,hist,santillana,,134 y 135,,,,,,5,hist,sep,,59 y 60
5,12/02,esp,Utiliza la información relevante de los textos que lee en la producción de los propios. Emplea referencias bibliográficas para ubicar fuentes de consulta. Emplea citas textuales para referir información de otros en sus escritos.,5,esp,santillana,,43 a 45,,,,,,5,esp,sep,,"43, 46 a 48"
5,12/02,art,"Crea una propuesta sencilla de texto literario, escenografía, vestuario, iluminación, utilería o dirección de escena.",5,art,santillana,,"186, 187, 328 y 329",,,,,,,,,,
5,12/02,ef,"Aplica el pensamiento estratégico en situaciones de juego e iniciación deportiva, para disfrutar de la confrontación lúdica.",5,ef,santillana,,462 y 463,,,,,,,,,,
5,12/03,lmb,"Escribe un texto narrativo de la tradición oral de su pueblo, de forma autónoma, en formato predeterminado.",,,,,,,,,,,,,,,
5,12/03,mat,"Conocimiento de diversas representaciones de un número fraccionario: con cifras, mediante la recta numérica, con superficies, etcétera. Análisis de las relaciones entre la fracción y el todo.",5,mat,santillana,,74 a 77,5,mat,detectives,,17 y 18,5,mat,sep,,50 a 53
5,12/03,ing,Comprende indicaciones para trasladarse de un lugar a otro.,,,,,,,,,,,,,,,
5,12/03,es,Valora el esfuerzo y muestra satisfacción por superar retos.,,,,,,5,es,socio,,32 y 33,,,,,
5,12/03,vs,"Participa en la promoción de hábitos de higiene y limpieza para cuidar el medioambiente en el entorno familiar, escolar y comunitario.",5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn4_t1/index.html,445 y 446,,,,,,,,,,
