grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
1,12/06,es,Identifica situaciones en las que se ha sentido excluido o maltratado y cuando ha participado en situaciones que han hecho sentir mal a alguien más.,,,,,,1,es,socio,, 34 y 35,,,,,
1,12/06,art,Diseña un vestuario sencillo para la presentación frente a público.,1,art,santillana,,298 y 299,,,,,,,,,,
1,12/06,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,,122 y 123,,,,,,1,cm,sep,,46 a 53
1,12/06,lm,Sigue con atención la lectura que hace el docente en voz alta.,1,lm,santillana,,170 y 171,,,,,,1,lm,sep,,"83 a 87, 90 y 91"
1,12/06,vs,"Expresa razones acerca de por qué los alimentos procesados ponen en riesgo la salud, en comparación con los alimentos frescos.",1,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn2_t1/index.html,138 y 139,,,,,,,,,,
1,12/07,mat,"Estima, compara y ordena longitudes directamente y con un intermediario.",1,mat,santillana,, 214 y 215,1,mat,detectives,,  21,1,mat,sep,,78 a 81
1,12/07,fcye,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas.",1,fcye,santillana,, 132 y 133,,,,,,1,fcye,sep,,26 a 31
1,12/07,lm,Escribe palabras que tienen sonidos semejantes y compara sus escrituras.,1,lm,santillana,,72 y 73,,,,,,1,lm,sep,,"57, 59 a 61 y 69"
1,12/07,art,Diseña un vestuario sencillo para la presentación frente a público.,1,art,santillana,, 298 y 299,,,,,,,,,,
1,12/07,ef,"Pone a prueba sus respuestas motrices en actividades y juegos, individuales y colectivos, con la intención de canalizar y expresar el gusto por moverse.",1,ef,santillana,,296 y 297,,,,,,,,,,
1,12/08,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,, 122 y 123,,,,,,1,cm,sep,,46 a 53
1,12/08,mat,"Estima, compara y ordena longitudes directamente y con un intermediario.",1,mat,santillana,,102 y 103,1,mat,detectives,,21,1,mat,sep,,56 a 60
1,12/08,lm,"Recupera, con ayuda del profesor, la trama de los cuentos leídos.",1,lm,santillana,,332 y 333,,,,,,1,lm,sep,,186 y 187
1,12/08,ing,Explora rimas o cuentos en verso.,,,,,,,,,,,,,,,
1,12/08,ced,"Identifica situaciones en su vida diaria, en las que puede tomar algunas decisiones y en las que no; así como que esas decisiones conllevan una responsabilidad consigo y con otras personas.",1,ced,santillana,,132 y 133,,,,,,1,fcye,sep,,26 a 31
1,12/09,lmb,"Reconoce dónde dice una palabra escrita, cuando la misma se repite varias veces en un texto.",1,lmb,santillana,,72 y 73  ,,,,,,1,lm,sep,,61 y 69
1,12/09,art,Diseña un vestuario sencillo para la presentación frente a público.,1,art,santillana,, 298 y 299,,,,,,,,,,
1,12/09,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,, 122 y 123,,,,,,1,cm,sep,,46 a 53
1,12/09,mat,"Estima, compara y ordena longitudes directamente y con un intermediario.",1,mat,santillana,,102 y 103,1,mat,detectives,,  29,1,mat,sep,,56 a 60
1,12/09,ef,"Pone a prueba sus respuestas motrices en actividades y juegos, individuales y colectivos, con la intención de canalizar y expresar el gusto por moverse.",1,ef,santillana,, 296 y 297,,,,,,,,,,
1,12/10,mat,"Lee, escribe y ordena números naturales hasta 100.",1,mat,santillana,,106 y 107,1,mat,detectives,,22,1,mat,sep,,  61 a 69
1,12/10,cm,"Clasifica animales, plantas y materiales a partir de características que identifica con sus sentidos.",1,cm,santillana,,122 y 123,,,,,,1,cm,sep,,46 a 53
1,12/10,es,Reconoce en la ejecución de acciones cotidianas su capacidad de valerse por sí  mismo.,,,,,,1,es,socio,,50 y 51,,,,,
1,12/10,art,Diseña un vestuario sencillo para la presentación frente a público.,1,art,santillana,, 298 y 299,,,,,,,,,,
1,12/10,vs,"Expresa razones acerca de por qué los alimentos procesados ponen en riesgo la salud, en comparación con los alimentos frescos.",1,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvsset3e1-gen/index.html,139,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
