grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
3,12/06,es,Identifica grupos de personas que han sido susceptibles de discriminación y maltrato y analiza las consecuencias de este hecho.,,,,,,3,es,socio,,58 y 59,,,,,
3,12/06,art,Elige en colectivo el tema y las técnicas del trabajo artístico a presentar.,3,art,santillana,,"164, 165, 306 y 307",,,,,,,,,,
3,12/06,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,102 y 103,,,,,,3,cn,sep,,52 a 54
3,12/06,lm,Identifica e integra información relevante de diversas fuentes.,3,lm,santillana,,172 y 173,,,,,,3,esp,sep,,102 y 104
3,12/06,vs,Consume alimentos frescos de la región e identifica cómo esta práctica beneficia al medio ambiente.,3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e1-gen/index.html,140,,,,,,,,,,
3,12/07,lm,Identifica la utilidad del orden alfabético.,,,,,,,,,,,,,,,
3,12/07,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,66 y 67,3,mat,detectives,,18,3,mat,sep,,42 a 46
3,12/07,fcye,"Reflexiona acerca de su capacidad para tomar decisiones libres con base en el respeto, aprecio y cuidado por la dignidad propia y de otras personas en situaciones escolares y comunitarias.",3,fcye,santillana,,126 y 127,,,,,,3,fcye,sep,,36 a 39
3,12/07,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,102 y 103,,,,,,3,cn,sep,,52 a 54
3,12/07,ef,"Toma decisiones respecto a cómo ubicarse y actuar en distintos juegos, individuales y colectivos, con el fin de solucionar situaciones que se presentan en cada uno.",3,ef,santillana,,304 y 305,,,,,,,,,,
3,12/08,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,66 y 67,3,mat,detectives,,18,3,mat,sep,,42 a 46
3,12/08,art,Elige en colectivo el tema y las técnicas del trabajo artístico a presentar.,3,art,santillana,,"164, 165, 306 y 307",,,,,,,,,,
3,12/08,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,98 y 99,,,,,,3,cn,sep,,48 a 50
3,12/08,lm,Infiere el significado de palabras desconocidas a partir de la información contextual de un texto.,,,,,,,,,,,,,,,
3,12/08,ced,"Reflexiona acerca de su capacidad para tomar decisiones libres con base en el respeto, aprecio y cuidado de la dignidad propia y de otras personas en situaciones escolares y comunitarias.",3,ced,santillana,,128 y 129,,,,,,3,fcye,sep,,44 a 47
3,12/09,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,98 y 99,,,,,,3,cn,sep,,48 a 50
3,12/09,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,66 y 67,3,mat,detectives,,18,3,mat,sep,,42 a 46
3,12/09,lmb,Comparte información sobre la región donde se encuentra su comunidad.,3,lm,santillana,,176 y 177,,,,,,3,esp,sep,,110
3,12/09,art,Utiliza diversos materiales y practica las técnicas elegidas para preparar el trabajo artístico colectivo (bidimensional).,3,art,santillana,,"164, 165, 306 y 307",,,,,,,,,,
3,12/09,ef,"Toma decisiones respecto a cómo ubicarse y actuar en distintos juegos, individuales y colectivos, con el fin de solucionar situaciones que se presentan en cada uno.",3,ef,santillana,,304 y 305,,,,,,,,,,
3,12/10,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,66 y 67,3,mat,detectives,,18,3,mat,sep,,42 a 46
3,12/10,ing,Escucha la fábula correspondiente a una secuencia ilustrada.,,,,,,,,,,,,,,,
3,12/10,art,Utiliza diversos materiales y practica las técnicas elegidas para preparar el trabajo artístico colectivo (bidimensional).,3,art,santillana,,"164, 165, 306 y 307",,,,,,,,,,
3,12/10,es,Identifica que con base al esfuerzo puede lograr algo que se propone.,,,,,,3,es,socio,,28 y 29,,,,,
3,12/10,vs,"Colabora en acciones de higiene y limpieza en casa, escuela y comunidad para propiciar el bienestar común.",3,vs,vidasaludable,,287,,,,,,,,,,
