grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,12/06,vs,Consume alimentos frescos de la región e identifica cómo esta práctica beneficia al medio ambiente. ,4,vs,vidasaludable,"https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e1-gen/index.html
",141,,,,,,,,,,
4,12/06,fcye,"Explica las consecuencias que sus actos pueden provocar en su vida y en la de otros para actuar con honestidad, responsabilidad, solidaridad, reciprocidad y empatía. ",4,fcye,santillana,,134 y 135,,,,,,4,fcye,sep,,28 a 37
4,12/06,es,Evalúa posibles acciones y obstáculos para aliviar el malestar de personas que son excluidas o maltratadas. ,,,,,,4,es,socio,,38 y 39,,,,,
4,12/06,cn,Explica la reproducción vivípara y ovípara de los animales. ,4,cn,santillana,,88 y 89,,,,,,4,cn,sep,,51 a 53
4,12/06,art,"Explora diversas maneras de realizar una obra tridimensional, para proponer una opción original. ",4,art,santillana,,"16, 17, 164 y 165",,,,,,,,,,
4,12/07,ef,"Propone acciones estratégicas en retos motores de cooperación y oposición, con el propósito de hacer fluida su actuación y la de sus compañeros. ",4,ef,santillana,,162 y 163,,,,,,,,,,
4,12/07,hist,Distingue las características y reconoce los aportes de las culturas mesoamericanas y su relación con la naturaleza. ,4,hist,santillana,,124 a 127,,,,,,4,hist,sep,,60 a 69
4,12/07,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos. ,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/07,lm,Describe trayectos a partir de la información que aparece en los croquis. ,,,,,,,,,,,,,,,
4,12/07,geo,"Distingue relaciones de los climas con la vegetación y la fauna silvestre, y la importancia de la biodiversidad en México. ",4,geo,santillana,,106 y 107,,,,,,4,geo,sep,,61 a 68
4,12/08,ced,"Explica las consecuencias que sus actos pueden provocar en su vida y en la de otros para actuar con honestidad, responsabilidad, solidaridad, reciprocidad y empatía.",4,ced,santillana,,136 y 137,,,,,,4,fcye,sep,,38 a 47
4,12/08,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos. ,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/08,cn,Explica la reproducción vivípara y ovípara de los animales. ,4,cn,santillana,,88 y 89,,,,,,4,cn,sep,,51 a 53
4,12/08,hist,Investiga aspectos de la cultura y de la vida cotidiana del pasado y valora su importancia. ,4,hist,santillana,,124 a 127,,,,,,4,hist,sep,,60 a 69
4,12/08,lm,"Identifica las características y la función de las monografías, y las retoma al elaborar un texto propio.",,,,,,,,,,,,,,,
4,12/09,ef,"Propone acciones estratégicas en retos motores de cooperación y oposición, con el propósito de hacer fluida su actuación y la de sus compañeros.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,12/09,geo,"Distingue relaciones de los climas con la vegetación y la fauna silvestre, y la importancia de la biodiversidad en México. ",4,geo,santillana,,106 y 107,,,,,,4,geo,sep,,61 a 68
4,12/09,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos. ,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/09,lm,"Identifica las características y la función de las monografías, y las retoma al elaborar un texto propio. ",,,,,,,,,,,,,,,
4,12/09,ing,Escucha la fábula correspondiente a una secuencia ilustrada.,,,,,,,,,,,,,,,
4,12/10,vs,"Colabora en acciones de higiene y limpieza en casa, escuela y comunidad para propiciar el bienestar común. ",4,vs,vidasaludable,,297,,,,,,,,,,
4,12/10,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos. ,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/10,lmb,Analiza y elabora instructivos sencillos. ,,,,,,,,,,,,,,,
4,12/10,art,"Explora diversas maneras de realizar una obra tridimensional, para proponer una opción original. ",4,art,santillana,,"16, 17, 164 y 165",,,,,,,,,,
4,12/10,es,Identifica que con base al esfuerzo puede lograr algo que se propone. ,,,,,,4,es,socio,,52 y 53,,,,,
