grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,12/06,art,"Crea una propuesta sencilla de texto literario, escenografía, vestuario, iluminación, utilería o dirección de escena.",5,art,santillana,,"186, 187, 328 y 329",,,,,,,,,,
5,12/06,es,"Analiza la situación de niños, niñas, ancianos y personas con discapacidad y reconoce la posibilidad de actuar a favor de ellos.",,,,,,5,es,socio,,60 y 61,,,,,
5,12/06,cn,Reconoce que la biodiversidad está conformada por la variedad de seres vivos y de ecosistemas.,5,cn,santillana,,100 y 101,,,,,,5,cn,sep,,51 a 55
5,12/06,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,120 y 121,,,,,,5,geo,sep,,55 a 61
5,12/06,vs,Argumenta acerca de la influencia de la publicidad en sus hábitos de consumo de alimentos procesados y bebidas azucaradas.,5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e1-gen/index.html,155,,,,,,,,,,
5,12/07,mat,"Conocimiento de diversas representaciones de un número fraccionario: con cifras, mediante la recta numérica, con superficies, etcétera. Análisis de las relaciones entre la fracción y el todo.",5,mat,santillana,,74 a 77,5,mat,detectives,,17 y 18,5,mat,sep,,50 a 53
5,12/07,cn,Reconoce que la biodiversidad está conformada por la variedad de seres vivos y de ecosistemas.,5,cn,santillana,,100 y 101,,,,,,5,cn,sep,,51 a 55
5,12/07,esp,Reconoce a la leyenda como un texto propio de la tradición oral.,5,esp,santillana,,46 y 47,,,,,,5,esp,sep,,51 a 58
5,12/07,hist,Identifica las medidas para fortalecer la economía y la organización política de México durante la República Restaurada.,5,hist,santillana,,138,,,,,,5,hist,sep,,61
5,12/07,ef,"Aplica el pensamiento estratégico en situaciones de juego e iniciación deportiva, para disfrutar de la confrontación lúdica.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,12/08,geo,"Distingue diferencias en la diversidad de climas, vegetación y fauna silvestre en los continentes.",5,geo,santillana,,120 y 121,,,,,,5,geo,sep,,55 a 61
5,12/08,mat,"Conocimiento de diversas representaciones de un número fraccionario: con cifras, mediante la recta numérica, con superficies, etcétera. Análisis de las relaciones entre la fracción y el todo.",5,mat,santillana,,74 a 77,5,mat,detectives,,17 y 18,5,mat,sep,,50 a 53
5,12/08,fcye,"Analiza necesidades, intereses y motivaciones individuales, de otras personas o grupos al plantearse metas para el bienestar personal y colectivo.",5,fcye,santillana,,150 y 151,,,,,,5,fcye,sep,,47 a 51
5,12/08,esp,Elementos de realidad y fantasía en relatos orales (leyendas).,5,esp,santillana,,46 y 47,,,,,,5,esp,sep,,51 a 58
5,12/08,ced,"Analiza necesidades, intereses y motivaciones individuales, de otras personas o grupos al plantearse metas para el bienestar personal y colectivo.",5,ced,santillana,,150 y 151,,,,,,5,fcye,sep,,47 a 51
5,12/09,mat,"Conocimiento de diversas representaciones de un número fraccionario: con cifras, mediante la recta numérica, con superficies, etcétera. Análisis de las relaciones entre la fracción y el todo.",5,mat,santillana,,74 a 77,5,mat,detectives,,17 y 18,5,mat,sep,,50 a 53
5,12/09,hist,Reconoce la soberanía y la democracia como valores de la herencia liberal.,5,hist,santillana,,136 y 137,,,,,,5,hist,sep,,62
5,12/09,esp,"Adecuaciones de las leyendas en diversos momentos, contextos y culturas. Recursos literarios para la construcción narrativa del texto.",5,esp,santillana,,48 a 51,,,,,,5,esp,sep,,57 a 61
5,12/09,art,"Crea una propuesta sencilla de texto literario, escenografía, vestuario, iluminación, utilería o dirección de escena.",5,art,santillana,,"186, 187, 328 y 329",,,,,,,,,,
5,12/09,ef,"Aplica el pensamiento estratégico en situaciones de juego e iniciación deportiva, para disfrutar de la confrontación lúdica.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,12/10,lmb,"Escucha y disfruta las narraciones. Comenta sus interpretaciones sobre el contenido y sobre el arte del narrador: sus ademanes, gestos, proyecciones de la voz, cómo capta su intención y sus efectos.",,,,,,,,,,,,,,,
5,12/10,mat,"Análisis del significado de la parte decimal en medidas de uso común; por ejemplo, 2.3 metros, 2.3 horas.",5,mat,santillana,,78 y 79,5,mat,detectives,,19,5,mat,sep,,54 a 57
5,12/10,ing,Comprende indicaciones para trasladarse de un lugar a otro.,,,,,,,,,,,,,,,
5,12/10,es,Valora su capacidad para mejorar su entorno inmediato a través de la implementación de acciones específicas.,,,,,,5,es,socio,,50 y 51,,,,,
5,12/10,vs,"Participa en la promoción de hábitos de higiene y limpieza para cuidar el medio ambiente, en el entorno familiar, escolar y comunitario.",5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e3-gen/index.html,160,,,,,,,,,,
