grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,12/06,vs,Argumenta acerca de la influencia de la publicidad en sus hábitos de consumo de alimentos procesados y bebidas azucaradas.,6,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html  ,299,,,,,,,,,,
6,12/06,es,"Se involucra en acciones para brindar apoyo a personas o grupos que han sufrido exclusión o discriminación, y manifiesta emociones positivas asociadas a dichas acciones de apoyo.",,,,,,6,es,socio,,22 y 23,,,,,
6,12/06,esp,"Comprende e interpreta reportajes. Emplea notas que sirvan de guía para la escritura de textos propios, refiriendo los datos de las fuentes consultadas.",6,esp,santillana,,"40 a 43, 47 y 48",,,,,,6,esp,sep,,"43 a 51, 54 y 55"
6,12/06,hist,"Identifica características de las ciudades-Estado, el origen del concepto “democracia” y la importancia de la civilización helenística en la difusión de la cultura.",6,hist,santillana,,126 y 127,,,,,,6,hist,sep,,42 a 45
6,12/06,geo,"Reconoce implicaciones naturales, sociales, culturales y económicas del crecimiento urbano en el mundo.",6,geo,santillana,,252 y 253,,,,,,6,geo,sep,,87 a 91
6,12/07,ef,"Diseña estrategias al modificar los elementos básicos del juego en situaciones de iniciación deportiva, con la intención de adaptarse a los cambios en la lógica interna de cada una.",6,ef,santillana,,454 y 455,,,,,,,,,,
6,12/07,mat,"Cálculo del tanto por ciento de cantidades mediante diversos procedimientos (aplicación de la correspondencia ""por cada 100, n"", aplicación de una fracción común o decimal, uso de 10% como base).",6,mat,santillana,,66 y 67,6,mat,detectives,,17,6,mat,sep,,36 a 38
6,12/07,cn,"Explica que los seres vivos y el medio natural han cambiado a través del tiempo, y la importancia de los fósiles en la reconstrucción de la vida en el pasado.",6,cn,santillana,,94 y 95,,,,,,6,cn,sep,,53 a 62
6,12/07,esp,"Comprende e interpreta reportajes. Emplea notas que sirvan de guía para la escritura de textos propios, refiriendo los datos de las fuentes consultadas.",6,esp,santillana,,"40 a 43, 47 y 48",,,,,,6,esp,sep,,"43 a 51, 54 y 55"
6,12/07,hist,"Describe cambios en la vida cotidiana, la organización política y económica de Roma, y las causas que permitieron su expansión.",6,hist,santillana,,128 y 129,,,,,,6,hist,sep,,45 a 48
6,12/08,ced,"Actúa con autonomía y asume responsabilidades derivadas del ejercicio de su libertad en actividades familiares, escolares y comunitarias.",6,ced,santillana,,140 y 141,,,,,,6,fcye,sep,,44 a 53
6,12/08,art,Opina sobre el proceso y los resultados obtenidos ante público en relación con la presentación.,6,art,santillana,,"328, 329, 456 y 457",,,,,,,,,,
6,12/08,fcye,"Actúa con autonomía y asume responsabilidades derivadas del ejercicio de su libertad en actividades familiares, escolares y comunitarias.",6,fcye,santillana,,138 y 139,,,,,,6,fcye,sep,,32 a 43
6,12/08,mat,"Cálculo del tanto por ciento de cantidades mediante diversos procedimientos (aplicación de la correspondencia “por cada 100, n”, aplicación de una fracción común o decimal, uso de 10% como base).",6,mat,santillana,,68 y 69,6,mat,detectives,,17,6,mat,sep,,36 a 38
6,12/08,esp,Selecciona información relevante de diversas fuentes para elaborar un reportaje.,6,esp,santillana,,42 y 43,,,,,,6,esp,sep,,51
6,12/09,ef,"Diseña estrategias al modificar los elementos básicos del juego en situaciones de iniciación deportiva, con la intención de adaptarse a los cambios en la lógica interna de cada una.",6,ef,santillana,,454 y 455,,,,,,,,,,
6,12/09,mat,"Cálculo del tanto por ciento de cantidades mediante diversos procedimientos (aplicación de la correspondencia ""por cada 100, n"", aplicación de una fracción común o decimal, uso de 10% como base).",6,mat,santillana,,68 y 69,6,mat,detectives,,17,6,mat,sep,,36 a 38
6,12/09,geo,"Reconoce implicaciones naturales, sociales, culturales y económicas del crecimiento urbano en el mundo.",6,geo,santillana,,252 y 253,,,,,,6,geo,sep,,87 a 91
6,12/09,lmb,Aprender a organizar y seleccionar información para su difusión.,,,,,,,,,,,,,,,
6,12/09,cn,"Explica que los seres vivos y el medio natural han cambiado a través del tiempo, y la importancia de los fósiles en la reconstrucción de la vida en el pasado.",6,cn,santillana,,94 y 95,,,,,,6,cn,sep,,53 a 62
6,12/10,vs,"Participa en la promoción de hábitos de higiene y limpieza para cuidar el medio ambiente, en el entorno familiar, escolar y comunitario.",6,vs,vidasaludable,,303,,,,,,,,,,
6,12/10,ing,Comprende indicaciones para trasladarse de un lugar a otro.,,,,,,,,,,,,,,,
6,12/10,mat,"Lectura de datos contenidos en tablas y gráficas circulares, para responder diversos cuestionamientos.",6,mat,santillana,,70 y 71,6,mat,detectives,,18,6,mat,sep,,39 a 42
6,12/10,art,"Selecciona una obra teatral infantil o juvenil (escritores latinoamericanos) para presentarla ante público, como resultado de una investigación y debate colectivo sobre las características artísticas y expresivas de, al menos, tres escritores latinoamericanos.",6,art,santillana,,"174, 175, 322 y 323",,,,,,,,,,
6,12/10,es,Identifica que con base en el esfuerzo puede lograr algo que se propone.,,,,,,6,es,socio,,36 y 37,,,,,
