grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
3,12/13,es,Identifica el deseo de bienestar común a todos.,,,,,,3,es,socio,,22 y 23,,,,,
3,12/13,art,Utiliza diversos materiales y practica las técnicas elegidas para preparar el trabajo artístico colectivo (bidimensional).,3,art,santillana,,306 y 307,,,,,,,,,,
3,12/13,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,98 y 99,,,,,,3,cn,sep,,48 a 50
3,12/13,lm,Infiere el significado de palabras desconocidas a partir de la información contextual de un texto.,,,santillana,,,,,,,,,,,,
3,12/13,vs,Consume alimentos frescos de la región e identifica cómo esta práctica beneficia al medioambiente.,3,vs,vidasaludable,,140,,,,,,,,,,
3,12/14,lm,Identifica e integra información relevante de diversas fuentes.,3,lm,santillana,,170 y 171,,,,,,3,esp,sep,,102 a 109
3,12/14,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,"48 y 49, 66 y 67",3,mat,detectives,,7 y 18,3,mat,sep,,42 a 46
3,12/14,fcye,"Reflexiona acerca de su capacidad para tomar decisiones libres con base en el respeto, aprecio y cuidado por la dignidad propia y de otras personas en situaciones escolares y comunitarias.",3,fcye,santillana,,128 y 129,,,,,,3,fcye,sep,,40 a 47
3,12/14,cn,Identifica distintas formas de nutrición de plantas y animales y su relación con el medio natural.,3,cn,santillana,,102 y 103,,,,,,3,cn,sep,,52 a 54
3,12/14,ef,"Toma decisiones respecto a cómo ubicarse y actuar en distintos juegos, individuales y colectivos, con el fin de solucionar situaciones que se presentan en cada uno.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,12/15,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,"48 y 49, 66 y 67",3,mat,detectives,,7 y 18,3,mat,sep,,42 a 46
3,12/15,art,Utiliza diversos materiales y practica las técnicas elegidas para preparar el trabajo artístico colectivo (bidimensional).,3,art,santillana,,306 y 307,,,,,,,,,,
3,12/15,cn,"Identifica la respiración en animales, las estructuras asociadas y su relación con el medio natural en el que viven.",3,cn,santillana,,100 y 101,,,,,,3,cn,sep,,50 y 51
3,12/15,lm,Usa títulos y subtítulos para organizar y jerarquizar información. Conoce la función y las características de los diagramas.,,,,,,,,,,,,,,,
3,12/15,ced,"Reconoce las diversidades étnicas, sociales, culturales, lingüísticas, de capacidades y de género en su entorno, y se relaciona con las personas y la naturaleza con respeto y empatía.",3,ced,santillana,,266 y 267,,,,,,3,fcye,sep,,52 a 61
3,12/16,cn,"Identifica la respiración en animales, las estructuras asociadas y su relación con el medio natural en el que viven.",3,cn,santillana,,100 y 101,,,,,,3,cn,sep,,50 y 51
3,12/16,mat,"Relación de la escritura de los números con cifras y su nombre, a través de su descomposición aditiva.",3,mat,santillana,,"48 y 49, 66 y 67",3,mat,detectives,,7 y 18,3,mat,sep,,42 a 46
3,12/16,lmb,Conocer las características y función de un directorio.,,,,,,,,,,,,,,,
3,12/16,art,Utiliza diversos materiales y practica las técnicas elegidas para preparar el trabajo artístico colectivo (bidimensional).,3,art,santillana,,306 y 307,,,,,,,,,,
3,12/16,ef,"Toma decisiones respecto a cómo ubicarse y actuar en distintos juegos, individuales y colectivos, con el fin de solucionar situaciones que se presentan en cada uno.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,12/17,mat,"Representación e interpretación en tablas de doble entrada, o pictogramas de datos cuantitativos o cualitativos recolectados en el entorno.",3,mat,santillana,,62 y 63,3,mat,detectives,,16 y 17,3,mat,sep,,36 a 40
3,12/17,ing,Escucha la fábula correspondiente a una secuencia ilustrada.,,,,,,,,,,,,,,,
3,12/17,art,Explora variaciones en las formas de representación artística que permitan avanzar en su producción artística.,3,art,santillana,,448 y 449,,,,,,,,,,
3,12/17,es,Revisa las respuestas que ha dado ante situaciones que le generan las emociones básicas y propone cambios que ayuden a generar mayor bienestar personal y en quienes le rodean.,,,,,,3,es,socio,,20 y 21,,,,,
3,12/17,vs,Relaciona los hábitos de higiene y limpieza con las condiciones del entorno que inciden en la prevención de enfermedades comunes en el lugar donde vive.,3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e4-gen/index.html,280 y 281,,,,,,,,,,
