grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,12/13,vs,Consume alimentos frescos de la región e identifica cómo esta práctica beneficia al medioambiente.,4,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e1-gen/index.html,149,,,,,,,,,,
4,12/13,fcye,Reconoce que en nuestro país hay una gran diversidad cultural y lingüística que se expresa en los conocimientos y costumbres de los pueblos indígenas y afromexicanos y su aporte en la vida cotidiana.,4,fcye,santillana,,278 y 279,,,,,,4,fcye,sep,,52 a 63
4,12/13,es,Identifica el deseo de bienestar para todos.,,,,,,4,es,socio,,30 y 31,,,,,
4,12/13,cn,Explica la reproducción vivípara y ovípara de los animales.,4,cn,santillana,,88 y 89,,,,,,4,cn,sep,,51 a 53
4,12/13,art,"Clasifica obras artísticas de formato tridimensional a partir de su origen, estilo o época.",4,art,santillana,,"16, 17, 164 y 165",,,,,,,,,,
4,12/14,ef,"Propone acciones estratégicas en retos motores de cooperación y oposición, con el propósito de hacer fluida su actuación y la de sus compañeros.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,12/14,hist,Investiga aspectos de la cultura y de la vida cotidiana del pasado y valora su importancia.,4,hist,santillana,,266 y 267,,,,,,4,hist,sep,,97 a 99
4,12/14,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos.,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/14,lm,"Identifica las características y la función de las monografías, y las retoma al elaborar un texto propio.",,,,,,,,,,,,,,,
4,12/14,geo,Caracteriza la composición y distribución de la población en México.,4,geo,santillana,,248 y 249,,,,,,4,geo,sep,,87 a 91
4,12/15,ced,Reconoce que en nuestro país hay una gran diversidad cultural y lingüística que se expresa en los conocimientos y costumbres de los pueblos indígenas y afromexicanos y su aporte en la vida cotidiana.,4,ced,santillana,,278 y 279,,,,,,4,fcye,sep,,52 a 63
4,12/15,mat,Ubicación de números naturales en la recta numérica a partir de la posición de otros dos.,4,mat,santillana,,68 y 69,4,mat,detectives,,19,4,mat,sep,,48 a 50
4,12/15,cn,Explica la reproducción vivípara y ovípara de los animales.,4,cn,santillana,,88 y 89,,,,,,4,cn,sep,,51 a 53
4,12/15,hist,Investiga aspectos de la cultura y de la vida cotidiana del pasado y valora su importancia.,4,hist,santillana,,266 y 267,,,,,,4,hist,sep,,97 a 99
4,12/15,lm,Respeta y valora la diversidad cultural y lingüística de los pueblos indígenas.,4,esp,santillana,,342 y 343,,,,,,4,esp,sep,,200 y 201
4,12/16,ef,"Propone acciones estratégicas en retos motores de cooperación y oposición, con el propósito de hacer fluida su actuación y la de sus compañeros.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,12/16,geo,Caracteriza la composición y distribución de la población en México.,4,geo,santillana,,248 y 249,,,,,,4,geo,sep,,87 a 91
4,12/16,mat,"Representación de fracciones de magnitudes continuas (longitudes, superficies de figuras). Identificación de la unidad, dada una fracción de la misma.",4,mat,santillana,,70 y 71,4,mat,detectives,,20,4,mat,sep,,51 a 56
4,12/16,lm,"Identifica las características y la función de las monografías, y las retoma al elaborar un texto propio.",,,,,,,,,,,,,,,
4,12/16,ing,Explora y escucha relatos imaginados a partir de una fotografía.,,,,,,,,,,,,,,,
4,12/17,vs,Relaciona los hábitos de higiene y limpieza con las condiciones del entorno que inciden en la prevención de enfermedades comunes en el lugar donde vive.,4,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn3_t1/index.html,290 y 291,,,,,,,,,,
4,12/17,mat,"Representación de fracciones de magnitudes continuas (longitudes, superficies de figuras). Identificación de la unidad, dada una fracción de la misma.",4,mat,santillana,,70 y 71,4,mat,detectives,,20,4,mat,sep,,51 a 56
4,12/17,lmb,Registra y calendariza actividades.,,,,,,,,,,,,,,,
4,12/17,art,"Clasifica obras artísticas de formato tridimensional a partir de su origen, estilo o época.",4,art,santillana,,"16, 17, 164 y 165",,,,,,,,,,
4,12/17,es,"Autogestiona recursos emocionales no aflictivos, como la alegría y el amor, para mantener la motivación frente a una dificultad.",,,,,,4,es,socio,,28 y 29,,,,,
