grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,12/13,vs,Toma decisiones sobre su alimentación reconociendo impactos en el aprovechamiento de recursos naturales.,6,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,440,,,,,,,,,,
6,12/13,es,Identifica el deseo de bienestar común para todos.,,,,,,6,es,socio,,30 y 31,,,,,
6,12/13,esp,Selecciona información relevante de diversas fuentes para elaborar un reportaje.,6,esp,santillana,,41 a 43,,,,,,6,esp,sep,,47 a 51
6,12/13,hist,"Describe cambios en la vida cotidiana, la organización política y económica de Roma, y las causas que permitieron su expansión.",6,hist,santillana,,128 y 129,,,,,,6,hist,sep,,45 a 47
6,12/13,geo,"Reconoce implicaciones naturales, sociales, culturales y económicas del crecimiento urbano en el mundo.",6,geo,santillana,,252 y 253,,,,,,6,geo,sep,,87 a 92
6,12/14,ef,"Diseña estrategias al modificar los elementos básicos del juego en situaciones de iniciación deportiva, con la intención de adaptarse a los cambios en la lógica interna de cada una.",6,ef,santillana,,454 y 455,,,,,,,,,,
6,12/14,mat,"Lectura de datos contenidos en tablas y gráficas circulares, para responder diversos cuestionamientos.",6,mat,santillana,,70 y 71,6,mat,detectives,,18,6,mat,sep,,39 a 42
6,12/14,cn,Propone acciones para cuidar a los seres vivos al valorar las causas y consecuencias de su extinción en el pasado y en la actualidad.,6,cn,santillana,,96 y 97,,,,,,6,cn,sep,,63 a 65
6,12/14,esp,Selecciona información relevante de diversas fuentes para elaborar un reportaje.,6,esp,santillana,,41 a 43,,,,,,6,esp,sep,,47 a 51
6,12/14,hist,Identifica el contexto en que surgió el cristianismo y sus características.,6,hist,santillana,,130,,,,,,6,hist,sep,, 48 y 49
6,12/15,ced,Establece relaciones de respeto e igualdad entre personas de distintas culturas y rechaza participar en actos o manifestaciones de discriminación o que generen violencia.,6,ced,santillana,,282 y 283,,,,,,6,fcye,sep,,58 a 67
6,12/15,art,"Selecciona una obra teatral infantil o juvenil (escritores latinoamericanos) para presentarla ante público, como resultado de una investigación y debate colectivo sobre las características artísticas y expresivas de, al menos, tres escritores latinoamericanos.",6,art,santillana,,168 y 169,,,,,,,,,,
6,12/15,fcye,Establece relaciones de respeto e igualdad entre personas de distintas culturas y rechaza participar en actos o manifestaciones de discriminación o que generen violencia.,6,fcye,santillana,,282 y 283,,,,,,6,fcye,sep,,58 a 67
6,12/15,mat,"Lectura de datos contenidos en tablas y gráficas circulares, para responder diversos cuestionamientos.",6,mat,santillana,,70 y 71,6,mat,detectives,,18,6,mat,sep,,39 a 42
6,12/15,esp,"Emplea notas que sirvan de guía para la escritura de textos propios, refiriendo los datos de las fuentes consultadas.",6,esp,santillana,,41 y 42 ,,,,,,6,esp,sep,,47 a 51
6,12/16,ef,"Diseña estrategias al modificar los elementos básicos del juego en situaciones de iniciación deportiva, con la intención de adaptarse a los cambios en la lógica interna de cada una.",6,ef,santillana,,454 y 455,,,,,,,,,,
6,12/16,mat,"Ubicación de fracciones y decimales en la recta numérica en situaciones diversas. Por ejemplo, se quieren representar medios y la unidad está dividida en sextos, la unidad no está establecida, etcétera.",6,mat,santillana,,72 a 75,6,mat,detectives,,19 y 20,6,mat,sep,,44 a 47
6,12/16,geo,"Reconoce las principales rutas de migración en el mundo y sus consecuencias sociales, culturales, económicas y políticas.",6,geo,santillana,,254 y 255,,,,,,6,geo,sep,,93 a 100
6,12/16,lmb,Seleccionar un material e identificar información específica. Identifica y verifica información específica de forma eficiente y autónoma.,,,,,,,,,,,,,,,
6,12/16,cn,Propone acciones para cuidar a los seres vivos al valorar las causas y consecuencias de su extinción en el pasado y en la actualidad.,6,cn,santillana,,96 y 97,,,,,,6,cn,sep,,63 a 65
6,12/17,vs,"Participa en la promoción de hábitos de higiene y limpieza para cuidar el medioambiente en el entorno familiar, escolar y comunitario.",6,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e3-gen/index.html,297,,,,,,,,,,
6,12/17,ing,Describe el entorno inmediato como punto de referencia para desplazarse.,,,,,,,,,,,,,,,
6,12/17,mat,"Ubicación de fracciones y decimales en la recta numérica en situaciones diversas. Por ejemplo, se quieren representar medios y la unidad está dividida en sextos, la unidad no esta establecida, etcétera.",6,mat,santillana,,72 a 75,6,mat,detectives,,19 y 20,6,mat,sep,,44 a 47
6,12/17,art,"Comparte su opinión respecto a lo que le provocan diversas manifestaciones teatrales, y explica los argumentos por los que le gustan o disgustan para formar un juicio crítico.",6,art,santillana,,"328, 329, 456 y 457", ,,,, ,,,,,
6,12/17,es,"Autogestiona recursos emocionales no aflictivos, como la alegría y el amor, para mantener la motivación frente a una dificultad.",,,,,,6,es,socio,,16 y 17,,,,,
